Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.0643079504370689,0.9617235,0.80013734,0.46851122,0.5909805297851562,0.6900309,0.97101092338562,40775.0,46256.0,1377344.0,10185.0
Adam,BCE,0.2,0.001,50,0.0626603662967681,0.9653788,0.76830846,0.49941963,0.6053479909896851,0.699242,0.9733055233955384,39153.0,39244.0,1384356.0,11807.0
Adam,BCE,0.2,0.002,25,0.0660423263907432,0.96765,0.7148548,0.5234052,0.6043297648429871,0.69991696,0.9701546430587769,36429.0,33171.0,1390429.0,14531.0
Adam,BCE,0.2,0.002,50,0.0652144402265548,0.96486884,0.7693681,0.49468186,0.6021794676780701,0.697354,0.969648778438568,39207.0,40050.0,1383550.0,11753.0
Adam,BCE,0.2,0.003,25,0.0689829438924789,0.96924573,0.6794937,0.5440818,0.6042947769165039,0.70073676,0.9608448147773744,34627.0,29016.0,1394584.0,16333.0
Adam,BCE,0.2,0.003,50,0.0689165443181991,0.9593153,0.7846154,0.44925842,0.5713632106781006,0.6790587,0.9594168663024902,39984.0,49016.0,1374584.0,10976.0
Adam,BCE,0.3,0.001,25,0.0668108761310577,0.9736057,0.59116954,0.6248652,0.6075505018234253,0.7046865,0.9633886218070984,30126.0,18086.0,1405514.0,20834.0
Adam,BCE,0.3,0.001,50,0.064491219818592,0.970343,0.6960361,0.5567328,0.6186394095420837,0.70873,0.9723578691482544,35470.0,28241.0,1395359.0,15490.0
Adam,BCE,0.3,0.002,25,0.064897745847702,0.96906537,0.7052198,0.54016924,0.6117575168609619,0.70448154,0.9702814817428588,35938.0,30593.0,1393007.0,15022.0
Adam,BCE,0.3,0.002,50,0.0684025585651397,0.96838105,0.6760989,0.53357494,0.5964407920837402,0.6962867,0.9671341180801392,34454.0,30118.0,1393482.0,16506.0
Adam,BCE,0.3,0.003,25,0.0716765522956848,0.97229683,0.50779045,0.62138605,0.5588743686676025,0.679803,0.958014726638794,25877.0,15767.0,1407833.0,25083.0
Adam,BCE,0.3,0.003,50,0.0645198822021484,0.96905315,0.7269427,0.5387345,0.6188451647758484,0.7081596,0.972733199596405,37045.0,31718.0,1391882.0,13915.0
Adam,BCE,0.4,0.001,25,0.0713006556034088,0.9730835,0.3505887,0.7303573,0.4737610220909118,0.641582,0.9619502425193788,17866.0,6596.0,1417004.0,33094.0
Adam,BCE,0.4,0.001,50,0.0618661940097808,0.97417605,0.6201138,0.62798834,0.6240261793136597,0.71356326,0.9748566746711732,31601.0,18720.0,1404880.0,19359.0
Adam,BCE,0.4,0.002,25,0.0665352419018745,0.9738241,0.50494504,0.6580738,0.5714285969734192,0.6866796,0.9672697186470032,25732.0,13370.0,1410230.0,25228.0
Adam,BCE,0.4,0.002,50,0.0632911548018455,0.97369385,0.61803377,0.6197363,0.6188838481903076,0.71061194,0.9722169637680054,31495.0,19325.0,1404275.0,19465.0
Adam,BCE,0.4,0.003,25,0.0739538222551345,0.9726454,0.34254318,0.7187088,0.4639591872692108,0.6371832,0.952563226222992,17456.0,6832.0,1416768.0,33504.0
Adam,BCE,0.4,0.003,50,0.0640177354216575,0.97321707,0.618544,0.6111682,0.6148339509963989,0.7082511,0.9683827757835388,31521.0,20054.0,1403546.0,19439.0
Adam,BCE,0.5,0.001,25,0.062920868396759,0.9743944,0.46212715,0.69475174,0.5550513863563538,0.6790556,0.971859574317932,23550.0,10347.0,1413253.0,27410.0
Adam,BCE,0.5,0.001,50,0.0641954839229583,0.9746636,0.5818878,0.64877695,0.6135146021842957,0.70831996,0.9734614491462708,29653.0,16053.0,1407547.0,21307.0
Adam,BCE,0.5,0.002,25,0.0686904489994049,0.9731289,0.3602237,0.72337157,0.4809463322162628,0.6446997,0.9640966653823853,18357.0,7020.0,1416580.0,32603.0
