Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.0668544024229049,0.9658434,0.70417976,0.50417274,0.5876235961914062,0.69052225,0.968195378780365,35885.0,35291.0,1388309.0,15075.0
Adam,BCE,0.2,0.001,50,0.0704865902662277,0.96505535,0.7197802,0.49615842,0.5874063372612,0.6899996,0.9708989262580872,36680.0,37248.0,1386352.0,14280.0
Adam,BCE,0.2,0.002,25,0.0677016079425811,0.9591071,0.7756672,0.4471746,0.5672993659973145,0.67697287,0.9670397043228148,39528.0,48867.0,1374733.0,11432.0
Adam,BCE,0.2,0.002,50,0.0671446248888969,0.9646525,0.71836734,0.49218854,0.5841484069824219,0.68816507,0.9709010124206544,36608.0,37770.0,1385830.0,14352.0
Adam,BCE,0.2,0.003,25,0.0738535672426223,0.9531786,0.77240974,0.40661123,0.5327648520469666,0.6575012,0.962044596672058,39362.0,57443.0,1366157.0,11598.0
Adam,BCE,0.2,0.003,50,0.0757478922605514,0.9582865,0.69309264,0.4350343,0.5345481038093567,0.6610148,0.9571064710617064,35320.0,45869.0,1377731.0,15640.0
Adam,BCE,0.3,0.001,25,0.0664826110005378,0.9717482,0.58677393,0.59208363,0.5894168019294739,0.6945083,0.9697995185852052,29902.0,20601.0,1402999.0,21058.0
Adam,BCE,0.3,0.001,50,0.0694395452737808,0.9661872,0.64395607,0.5085308,0.5682867765426636,0.6811726,0.9680342674255372,32816.0,31715.0,1391885.0,18144.0
Adam,BCE,0.3,0.002,25,0.0706013515591621,0.96729124,0.5505102,0.52556247,0.5377471446990967,0.66720474,0.96514630317688,28054.0,25325.0,1398275.0,22906.0
Adam,BCE,0.3,0.002,50,0.0677434429526329,0.96891075,0.60916406,0.5449104,0.5752485394477844,0.6859979,0.9682663083076476,31043.0,25926.0,1397674.0,19917.0
Adam,BCE,0.3,0.003,25,0.0739837512373924,0.96921384,0.48549843,0.5633453,0.5215329527854919,0.66072047,0.9647891521453856,24741.0,19177.0,1404423.0,26219.0
Adam,BCE,0.3,0.003,50,0.069557711482048,0.9644253,0.6700942,0.48927543,0.5655843019485474,0.6789389,0.9689779281616212,34148.0,35645.0,1387955.0,16812.0
Adam,BCE,0.4,0.001,25,0.073362797498703,0.9711677,0.3178375,0.67631215,0.43244469165802,0.62335974,0.9613390564918518,16197.0,7752.0,1415848.0,34763.0
Adam,BCE,0.4,0.001,50,0.0749896615743637,0.9727498,0.4436617,0.656475,0.529484748840332,0.6661965,0.9619361162185668,22609.0,11831.0,1411769.0,28351.0
Adam,BCE,0.4,0.002,25,0.0687339305877685,0.9715576,0.4601452,0.6190665,0.5279046893119812,0.66485286,0.9668309092521667,23449.0,14429.0,1409171.0,27511.0
Adam,BCE,0.4,0.002,50,0.0682685300707817,0.97082245,0.5564953,0.5813415,0.5686470866203308,0.6837649,0.9688077569007874,28359.0,20423.0,1403177.0,22601.0
Adam,BCE,0.4,0.003,25,0.07366993278265,0.96923625,0.25586733,0.6366388,0.3650285005569458,0.5961124,0.9647310972213744,13039.0,7442.0,1416158.0,37921.0
Adam,BCE,0.4,0.003,50,0.0734957829117775,0.9646634,0.4718799,0.48836312,0.4799800515174866,0.6399249,0.96647310256958,24047.0,25193.0,1398407.0,26913.0
Adam,BCE,0.5,0.001,25,0.0728644281625747,0.96923554,0.16944662,0.7396779,0.2757288217544555,0.56448233,0.9628908038139344,8635.0,3039.0,1420561.0,42325.0
Adam,BCE,0.5,0.001,50,0.0663451477885246,0.97291124,0.42156592,0.6723944,0.5182245969772339,0.6611215,0.970050811767578,21483.0,10467.0,1413133.0,29477.0
