Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.0706593468785286,0.96044064,0.78610224,0.503843,0.6140913963317871,0.7011258,0.972466766834259,69618.0,68556.0,2054723.0,18943.0
Adam,BCE,0.2,0.001,50,0.0683833062648773,0.95829356,0.8307381,0.48777756,0.6146539449691772,0.7002706,0.973481297492981,73571.0,77258.0,2046021.0,14990.0
Adam,BCE,0.2,0.002,25,0.0786362364888191,0.9707768,0.6529172,0.6304158,0.6414691805839539,0.7210855,0.9609478712081908,57823.0,33899.0,2089380.0,30738.0
Adam,BCE,0.2,0.002,50,0.069800466299057,0.9621736,0.7746864,0.518497,0.6212152242660522,0.7057577,0.9703282117843628,68607.0,63712.0,2059567.0,19954.0
Adam,BCE,0.2,0.003,25,0.0753568932414054,0.9539582,0.7846795,0.45640352,0.5771257281303406,0.6790352,0.9673326015472412,69492.0,82768.0,2040511.0,19069.0
Adam,BCE,0.2,0.003,50,0.0725896507501602,0.94955736,0.8524746,0.43388006,0.5750695466995239,0.67567605,0.9736272096633912,75496.0,98506.0,2024773.0,13065.0
Adam,BCE,0.3,0.001,25,0.0706477165222168,0.969137,0.6918621,0.5992547,0.6422371864318848,0.7206345,0.9726706743240356,61272.0,40975.0,2082304.0,27289.0
Adam,BCE,0.3,0.001,50,0.0747911557555198,0.9578527,0.82869434,0.48460796,0.6115756630897522,0.69844407,0.9748847484588624,73390.0,78052.0,2045227.0,15171.0
Adam,BCE,0.3,0.002,25,0.0783811211585998,0.96513265,0.61725813,0.55843294,0.5863738656044006,0.6895252,0.9642543792724608,54665.0,43225.0,2080054.0,33896.0
Adam,BCE,0.3,0.002,50,0.0728292167186737,0.9647407,0.7361254,0.54412365,0.6257270574569702,0.70949244,0.9722872376441956,65192.0,54619.0,2068660.0,23369.0
Adam,BCE,0.3,0.003,25,0.0766177028417587,0.96683484,0.62224907,0.58001876,0.60039222240448,0.6974796,0.9619038105010986,55107.0,39902.0,2083377.0,33454.0
Adam,BCE,0.3,0.003,50,0.0698509961366653,0.9675388,0.71862334,0.57583106,0.639351487159729,0.71823215,0.9722137451171876,63642.0,46880.0,2076399.0,24919.0
Adam,BCE,0.4,0.001,25,0.0671201273798942,0.9724501,0.6203747,0.66791886,0.643269419670105,0.7229402,0.9729541540145874,54941.0,27316.0,2095963.0,33620.0
Adam,BCE,0.4,0.001,50,0.0697373375296592,0.9733168,0.66948205,0.66589546,0.667684018611908,0.73686355,0.9721389412879944,59290.0,29748.0,2093531.0,29271.0
Adam,BCE,0.4,0.002,25,0.0675714015960693,0.97283393,0.58968395,0.687398,0.6348027586936951,0.7185834,0.973273515701294,52223.0,23749.0,2099530.0,36338.0
Adam,BCE,0.4,0.002,50,0.0693762674927711,0.97249305,0.57014936,0.6891737,0.6240367293357849,0.7126888,0.9703285098075868,50493.0,22773.0,2100506.0,38068.0
Adam,BCE,0.4,0.003,25,0.075916439294815,0.9656585,0.7061799,0.5560248,0.6221709847450256,0.708109,0.970232367515564,62540.0,49937.0,2073342.0,26021.0
Adam,BCE,0.4,0.003,50,0.0708676427602768,0.97168916,0.55126977,0.68090653,0.6092686653137207,0.70457125,0.9704914093017578,48821.0,22879.0,2100400.0,39740.0
Adam,BCE,0.5,0.001,25,0.0746428519487381,0.968538,0.3144725,0.75827706,0.4445720911026001,0.62697834,0.969803273677826,27850.0,8878.0,2114401.0,60711.0
Adam,BCE,0.5,0.001,50,0.0688881278038024,0.9728945,0.47322184,0.7590835,0.5829966068267822,0.6919001,0.9702771902084352,41909.0,13301.0,2109978.0,46652.0
Adam,BCE,0.5,0.002,25,0.0829869955778122,0.966097,0.23477603,0.7422798,0.3567237555980682,0.59142804,0.9542677402496338,20792.0,7219.0,2116060.0,67769.0
Adam,BCE,0.5,0.002,50,0.0861318483948707,0.96482927,0.20591457,0.70948917,0.31919065117836,0.5772199,0.9580955505371094,18236.0,7467.0,2115812.0,70325.0
Adam,BCE,0.5,0.003,25,0.0737292543053627,0.97001046,0.378993,0.74754447,0.5029821991920471,0.6527689,0.9682510495185852,33564.0,11335.0,2111944.0,54997.0
Adam,BCE,0.5,0.003,50,0.0750017091631889,0.9704531,0.4820858,0.6866195,0.5664550065994263,0.6825072,0.9704766869544984,42694.0,19486.0,2103793.0,45867.0
Adam,BCE,0.6,0.001,25,0.0712647587060928,0.9708713,0.42541298,0.7355956,0.5390691161155701,0.66967833,0.9716700315475464,37675.0,13542.0,2109737.0,50886.0
Adam,BCE,0.6,0.001,50,0.0700871795415878,0.9742287,0.56896377,0.72797143,0.6387202143669128,0.72141683,0.969623863697052,50388.0,18829.0,2104450.0,38173.0
Adam,BCE,0.6,0.002,25,0.0732794404029846,0.9709102,0.48528132,0.6961529,0.5718981027603149,0.685397,0.9721035361289978,42977.0,18758.0,2104521.0,45584.0
Adam,BCE,0.6,0.002,50,0.0685178562998771,0.9730089,0.53723425,0.71767104,0.6144806146621704,0.70795876,0.9756921529769896,47578.0,18717.0,2104562.0,40983.0
Adam,BCE,0.6,0.003,25,0.0878729447722435,0.95996046,0.0,0.0,0.0,0.47998023,0.9492969512939452,0.0,0.0,2123279.0,88561.0
Adam,BCE,0.6,0.003,50,0.0720740556716919,0.9703767,0.40797868,0.7340268,0.5244585871696472,0.6626597,0.9702008366584778,36131.0,13092.0,2110187.0,52430.0
Adam,BCE,0.7,0.001,25,0.0695517063140869,0.9687396,0.3085444,0.7755733,0.4414627850055694,0.62580156,0.97243732213974,27325.0,7907.0,2115372.0,61236.0
Adam,BCE,0.7,0.001,50,0.0663647875189781,0.96936715,0.29957882,0.82251364,0.4391931295394897,0.62519187,0.9741216897964478,26531.0,5725.0,2117554.0,62030.0
Adam,BCE,0.7,0.002,25,0.0750522911548614,0.9639748,0.15077743,0.7490324,0.2510245442390442,0.5536413,0.9710124731063844,13353.0,4474.0,2118805.0,75208.0
Adam,BCE,0.7,0.002,50,0.0708458051085472,0.9738358,0.5702397,0.7182416,0.6357405781745911,0.7196106,0.975901424884796,50501.0,19811.0,2103468.0,38060.0
Adam,BCE,0.7,0.003,25,0.075141355395317,0.96715045,0.26127753,0.76177776,0.3890999853610992,0.6041726,0.9651309847831726,23139.0,7236.0,2116043.0,65422.0
Adam,BCE,0.7,0.003,50,0.0711486041545867,0.9691429,0.34406793,0.74992615,0.4717128276824951,0.6386832,0.9742554426193236,30471.0,10161.0,2113118.0,58090.0
Adam,BCE,0.8,0.001,25,0.0752171948552131,0.96060383,0.01763756,0.91828334,0.0346103534102439,0.48909295,0.9679235816001892,1562.0,139.0,2123140.0,86999.0
Adam,BCE,0.8,0.001,50,0.0671381950378418,0.96837384,0.27262565,0.8135045,0.4083897471427917,0.6123069,0.9748073220252992,24144.0,5535.0,2117744.0,64417.0
Adam,BCE,0.8,0.002,25,0.0759046748280525,0.9609303,0.033445872,0.78380525,0.0641542077064514,0.497009,0.9642058610916138,2962.0,817.0,2122462.0,85599.0
Adam,BCE,0.8,0.002,50,0.0705737397074699,0.9628214,0.08919276,0.8341077,0.1611531227827072,0.5251632,0.9740086793899536,7899.0,1571.0,2121708.0,80662.0
Adam,BCE,0.8,0.003,25,0.0807243064045906,0.95996094,1.1291652e-05,1.0,2.2583048121305183e-05,0.4799861,0.9597751498222352,1.0,0.0,2123279.0,88560.0
Adam,BCE,0.8,0.003,50,0.0697721317410469,0.96875495,0.28278813,0.81746966,0.420211911201477,0.6171949,0.9739935398101808,25044.0,5592.0,2117687.0,63517.0
Adam,Dice,0.2,0.001,25,0.3500028848648071,0.97330004,0.63644266,0.6772647,0.6562194228172302,0.73047006,0.8261795043945312,56364.0,26859.0,2096420.0,32197.0
