Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.0611300207674503,0.9649622,0.81567055,0.5186221,0.6340809464454651,0.7140404,0.9768102169036864,67146.0,62324.0,2067196.0,15174.0
Adam,BCE,0.2,0.001,50,0.0716439634561538,0.96937525,0.7192663,0.57022065,0.6361297369003296,0.717474,0.9679906368255616,59210.0,44627.0,2084893.0,23110.0
Adam,BCE,0.2,0.002,25,0.065006747841835,0.966744,0.7551871,0.5379118,0.628295361995697,0.711911,0.9735651016235352,62167.0,53404.0,2076116.0,20153.0
Adam,BCE,0.2,0.002,50,0.0613763816654682,0.96661514,0.799344,0.5344281,0.6405770182609558,0.718402,0.9776020646095276,65802.0,57324.0,2072196.0,16518.0
Adam,BCE,0.2,0.003,25,0.0703266710042953,0.96616304,0.72180516,0.5335758,0.6135790944099426,0.70389616,0.964904010295868,59419.0,51941.0,2077579.0,22901.0
Adam,BCE,0.2,0.003,50,0.0645854771137237,0.97278553,0.7073372,0.61727977,0.659247100353241,0.73187447,0.972748041152954,58228.0,36102.0,2093418.0,24092.0
Adam,BCE,0.3,0.001,25,0.0625494793057441,0.97027135,0.74005103,0.5786734,0.6494880318641663,0.7251746,0.9760351181030272,60921.0,44356.0,2085164.0,21399.0
Adam,BCE,0.3,0.001,50,0.0665662661194801,0.97114396,0.65809035,0.6029181,0.6292972564697266,0.7147625,0.9724528193473816,54174.0,35679.0,2093841.0,28146.0
Adam,BCE,0.3,0.002,25,0.0648349821567535,0.9663353,0.77318996,0.5328996,0.6309407949447632,0.7130976,0.9747071862220764,63649.0,55790.0,2073730.0,18671.0
Adam,BCE,0.3,0.002,50,0.0656350404024124,0.9688038,0.70702136,0.564602,0.6278363466262817,0.7127564,0.97391015291214,58202.0,44883.0,2084637.0,24118.0
Adam,BCE,0.3,0.003,25,0.0657947063446044,0.9718054,0.66890186,0.6106687,0.6384602189064026,0.72000533,0.9705458879470824,55064.0,35106.0,2094414.0,27256.0
Adam,BCE,0.3,0.003,50,0.0638837143778801,0.9741306,0.6433795,0.65527993,0.6492752432823181,0.7270912,0.9733334183692932,52963.0,27862.0,2101658.0,29357.0
Adam,BCE,0.4,0.001,25,0.0642305091023445,0.9741871,0.5502308,0.69296557,0.6134043335914612,0.7080145,0.974924087524414,45295.0,20069.0,2109451.0,37025.0
Adam,BCE,0.4,0.001,50,0.0621857903897762,0.97441316,0.6714043,0.6516613,0.6613855361938477,0.73391974,0.978459358215332,55270.0,29544.0,2099976.0,27050.0
Adam,BCE,0.4,0.002,25,0.0650997385382652,0.9707307,0.72096694,0.58693224,0.6470815539360046,0.7241047,0.9759318232536316,59350.0,41769.0,2087751.0,22970.0
Adam,BCE,0.4,0.002,50,0.0586021430790424,0.9765928,0.6050656,0.7211275,0.6580179333686829,0.7331932,0.9787258505821228,49809.0,19262.0,2110258.0,32511.0
Adam,BCE,0.4,0.003,25,0.0701335147023201,0.97254366,0.44269922,0.7104591,0.5454926490783691,0.67355984,0.9707528352737428,36443.0,14852.0,2114668.0,45877.0
Adam,BCE,0.4,0.003,50,0.0620031133294105,0.97526044,0.5573372,0.7150873,0.6264336705207825,0.7154,0.9761844277381896,45880.0,18280.0,2111240.0,36440.0
Adam,BCE,0.5,0.001,25,0.0623934939503669,0.9742631,0.4906584,0.7292374,0.5866180062294006,0.694415,0.9753443598747252,40391.0,14997.0,2114523.0,41929.0
Adam,BCE,0.5,0.001,50,0.0628015846014022,0.9756388,0.5668367,0.7191271,0.6339644193649292,0.7196022,0.9759110808372498,46662.0,18225.0,2111295.0,35658.0
Adam,BCE,0.5,0.002,25,0.0653862953186035,0.9735569,0.49800777,0.7048831,0.5836560726165771,0.69257194,0.9709005951881408,40996.0,17164.0,2112356.0,41324.0
Adam,BCE,0.5,0.002,50,0.0652409270405769,0.97269285,0.35451895,0.8007243,0.4914496541023254,0.6490519,0.9751323461532592,29184.0,7263.0,2122257.0,53136.0
Adam,BCE,0.5,0.003,25,0.0674353614449501,0.9723203,0.4136662,0.7243932,0.5266104340553284,0.6646509,0.9708389043807985,34053.0,12956.0,2116564.0,48267.0
