Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.061123888939619,0.96484035,0.7954474,0.49460083,0.6099445819854736,0.701319,0.97438383102417,40536.0,41421.0,1382179.0,10424.0
Adam,BCE,0.2,0.001,50,0.0599186681210994,0.96940374,0.7610675,0.5407395,0.6322585344314575,0.71542096,0.9749415516853333,38784.0,32940.0,1390660.0,12176.0
Adam,BCE,0.2,0.002,25,0.0641731172800064,0.96056044,0.8171703,0.46023518,0.5888350009918213,0.6883415,0.9719288349151612,41643.0,48839.0,1374761.0,9317.0
Adam,BCE,0.2,0.002,50,0.0587033070623874,0.9683526,0.78492934,0.5283597,0.6315822601318359,0.7145061,0.975986659526825,40000.0,35706.0,1387894.0,10960.0
Adam,BCE,0.2,0.003,25,0.0631050467491149,0.96687484,0.7548862,0.51413333,0.6116724610328674,0.70328486,0.972751796245575,38469.0,36354.0,1387246.0,12491.0
Adam,BCE,0.2,0.003,50,0.0619222596287727,0.97009957,0.75696623,0.5488759,0.6363411545753479,0.7179694,0.9678567051887512,38575.0,31705.0,1391895.0,12385.0
Adam,BCE,0.3,0.001,25,0.0616866201162338,0.96851736,0.7579278,0.53119886,0.624625027179718,0.7109097,0.976576566696167,38624.0,34087.0,1389513.0,12336.0
Adam,BCE,0.3,0.001,50,0.0590909868478775,0.97241485,0.7112245,0.5826635,0.640557050704956,0.7214553,0.9769448041915894,36244.0,25960.0,1397640.0,14716.0
Adam,BCE,0.3,0.002,25,0.1310265362262725,0.96176624,0.036695447,0.20419306,0.0622109808027744,0.49691087,0.7819464802742004,1870.0,7288.0,1416312.0,49090.0
Adam,BCE,0.3,0.002,50,0.06086902692914,0.97188383,0.69326925,0.57767713,0.630216658115387,0.7156393,0.974429190158844,35329.0,25828.0,1397772.0,15631.0
Adam,BCE,0.3,0.003,25,0.0615556575357914,0.9733927,0.65361065,0.6068136,0.6293433904647827,0.7159663,0.9715974926948548,33308.0,21582.0,1402018.0,17652.0
Adam,BCE,0.3,0.003,50,0.0637459680438041,0.9704875,0.69246465,0.55893815,0.6185776591300964,0.7087735,0.9728304147720336,35288.0,27846.0,1395754.0,15672.0
Adam,BCE,0.4,0.001,25,0.0642680078744888,0.97117513,0.67815936,0.5696977,0.6192148327827454,0.7094673,0.9763548970222472,34559.0,26103.0,1397497.0,16401.0
Adam,BCE,0.4,0.001,50,0.0589533187448978,0.9749037,0.618544,0.6421325,0.6301175355911255,0.7171674,0.9763281345367432,31521.0,17567.0,1406033.0,19439.0
Adam,BCE,0.4,0.002,25,0.0619330927729606,0.9735772,0.6379906,0.6131332,0.6253149509429932,0.7139301,0.9721359610557556,32512.0,20514.0,1403086.0,18448.0
Adam,BCE,0.4,0.002,50,0.0603444539010524,0.97546524,0.5753532,0.66852117,0.61844801902771,0.71130735,0.9757529497146606,29320.0,14538.0,1409062.0,21640.0
Adam,BCE,0.4,0.003,25,0.0631928667426109,0.97289973,0.62223315,0.60491425,0.6134515404701233,0.70736736,0.9710641503334044,31709.0,20710.0,1402890.0,19251.0
Adam,BCE,0.4,0.003,50,0.0640421733260154,0.96943563,0.784635,0.5397616,0.6395604610443115,0.71934843,0.9778818488121032,39985.0,34094.0,1389506.0,10975.0
Adam,BCE,0.5,0.001,25,0.063152439892292,0.97386,0.556044,0.6402603,0.5951878428459167,0.69851285,0.9756973385810852,28336.0,15921.0,1407679.0,22624.0
Adam,BCE,0.5,0.001,50,0.0668938010931015,0.9761522,0.43020016,0.78154075,0.5549353361129761,0.6799067,0.9679401516914368,21923.0,6128.0,1417472.0,29037.0
Adam,BCE,0.5,0.002,25,0.0635780245065689,0.9737284,0.50162876,0.65706205,0.5689200758934021,0.68540543,0.9731950759887696,25563.0,13342.0,1410258.0,25397.0
Adam,BCE,0.5,0.002,50,0.0578272491693496,0.976709,0.61320645,0.6810732,0.64536052942276,0.72630614,0.9791130423545836,31249.0,14633.0,1408967.0,19711.0
Adam,BCE,0.5,0.003,25,0.0669171959161758,0.9729106,0.5690934,0.61721325,0.5921773314476013,0.6965003,0.9741175174713136,29001.0,17986.0,1405614.0,21959.0
Adam,BCE,0.5,0.003,50,0.0611525848507881,0.97450763,0.3850471,0.7583675,0.5107634663581848,0.65856695,0.9754987955093384,19622.0,6252.0,1417348.0,31338.0
Adam,BCE,0.6,0.001,25,0.0614865310490131,0.9744887,0.4645212,0.69619435,0.5572373270988464,0.6801509,0.97803795337677,23672.0,10330.0,1413270.0,27288.0
Adam,BCE,0.6,0.001,50,0.0604442171752452,0.9773227,0.5518642,0.72622335,0.6271505355834961,0.7168529,0.9746724367141724,28123.0,10602.0,1412998.0,22837.0
