Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.06185074523091316,0.9617636,0.8028234000000001,0.47343427,0.5956228375434875,0.6923872,0.9746268391609192,249141.0,277101.0,8259928.0,61190.0
Adam,BCE,0.2,0.001,50,0.0754905641078949,0.9737009,0.6855551,0.6116201,0.6464815735816956,0.7253411,0.94983971118927,212749.0,135095.0,8401934.0,97582.0
Adam,BCE,0.2,0.002,25,0.06416794657707214,0.96436906,0.766965,0.4948964,0.6016005277633667,0.6967952,0.9697948694229126,238013.0,242922.0,8294107.0,72318.0
Adam,BCE,0.2,0.002,50,0.0784078910946846,0.96763986,0.5685703000000001,0.53653365,0.5520876049995422,0.6741402,0.9587819576263428,176445.0,152416.0,8384613.0,133886.0
Adam,BCE,0.2,0.003,25,0.07488783448934555,0.96279633,0.6698170999999999,0.47834212,0.5581137537956238,0.67448664,0.9599190354347228,207865.0,226688.0,8310341.0,102466.0
Adam,BCE,0.2,0.003,50,0.06401115655899048,0.9566924000000001,0.8281835,0.43795082,0.5729307532310486,0.6784352,0.9734681248664856,257011.0,329838.0,8207191.0,53320.0
Adam,BCE,0.3,0.001,25,0.06249465793371201,0.9722924000000001,0.6599824000000001,0.59463644,0.6256086230278015,0.7134121,0.9732301235198976,204813.0,139620.0,8397409.0,105518.0
Adam,BCE,0.3,0.001,50,0.07347410172224045,0.963618,0.6872501,0.48681363,0.5699226260185242,0.6806225,0.9641238451004028,213275.0,224829.0,8312200.0,97056.0
Adam,BCE,0.3,0.002,25,0.06662654876708984,0.96971357,0.65178794,0.55850387,0.6015508770942688,0.69958043,0.970815896987915,202270.0,159894.0,8377135.0,108061.0
Adam,BCE,0.3,0.002,50,0.06398265063762665,0.97222954,0.62678236,0.5996288000000001,0.6129050254821777,0.7067339,0.9709590077400208,194510.0,129874.0,8407155.0,115821.0
Adam,BCE,0.3,0.003,25,0.06365960091352463,0.9716191999999999,0.6583840999999999,0.58476865,0.6193967461585999,0.7097952,0.9734453558921814,204317.0,145081.0,8391948.0,106014.0
Adam,BCE,0.3,0.003,50,0.06960124522447586,0.9690447,0.60608834,0.5536592,0.5786886215209961,0.6877616999999999,0.967858910560608,188088.0,151630.0,8385399.0,122243.0
Adam,BCE,0.4,0.001,25,0.06729584187269211,0.97423714,0.49867079999999997,0.6814071,0.5758904814720154,0.6890824999999999,0.9654477834701538,154753.0,72355.0,8464674.0,155578.0
Adam,BCE,0.4,0.001,50,0.07493056356906891,0.97071093,0.3703304,0.64329696,0.4700592160224914,0.63878274,0.9585973024368286,114925.0,63725.0,8473304.0,195406.0
Adam,BCE,0.4,0.002,25,0.06491392105817795,0.97325826,0.57590765,0.6299526999999999,0.601719081401825,0.70151734,0.9719605445861816,178722.0,104985.0,8432044.0,131609.0
Adam,BCE,0.4,0.002,50,0.06776970624923706,0.9752767,0.54908466,0.68377733,0.609073281288147,0.70634073,0.9613114595413208,170398.0,78803.0,8458226.0,139933.0
Adam,BCE,0.4,0.003,25,0.06875840574502945,0.9721849,0.5278396,0.62196004,0.5710476040840149,0.68564343,0.9639065265655518,163805.0,99564.0,8437465.0,146526.0
Adam,BCE,0.4,0.003,50,0.06343584507703781,0.9744232,0.54397404,0.665715,0.5987185835838318,0.70059544,0.970882534980774,168812.0,84768.0,8452261.0,141519.0
Adam,BCE,0.5,0.001,25,0.062459774315357215,0.97472036,0.44721282,0.72701746,0.5537781119346619,0.67861557,0.9740756750106812,138784.0,52111.0,8484918.0,171547.0
Adam,BCE,0.5,0.001,50,0.08432972431182861,0.97597206,0.54835,0.7014629,0.6155276894569397,0.71004725,0.936436891555786,170170.0,72423.0,8464606.0,140161.0
Adam,BCE,0.5,0.002,25,0.06721504777669908,0.9722914,0.62286717,0.6014026,0.611946702003479,0.7062696999999999,0.9743137955665588,193295.0,128112.0,8408917.0,117036.0
Adam,BCE,0.5,0.002,50,0.06958389282226562,0.97174966,0.43373042,0.64460516,0.5185489058494568,0.6606704000000001,0.9681404829025269,134600.0,74210.0,8462819.0,175731.0
Adam,BCE,0.5,0.003,25,0.06910649687051773,0.97227126,0.3148477,0.7492350999999999,0.4433770179748535,0.6283970999999999,0.9652701616287231,97707.0,32702.0,8504327.0,212624.0
Adam,BCE,0.5,0.003,50,0.06494668126106262,0.97356623,0.45308718,0.6867186,0.5459586381912231,0.67430806,0.973204493522644,140607.0,64145.0,8472884.0,169724.0
Adam,BCE,0.6,0.001,25,0.06427015364170073,0.9736471999999999,0.38629398,0.7373539000000001,0.5069832801818848,0.65642756,0.97007155418396,119879.0,42701.0,8494328.0,190452.0
Adam,BCE,0.6,0.001,50,0.06708306819200516,0.9766041999999999,0.49517128,0.7532918000000001,0.597548246383667,0.7011323,0.9628077745437622,153667.0,50327.0,8486702.0,156664.0
Adam,BCE,0.6,0.002,25,0.06481950730085373,0.9730187,0.3444129,0.75191706,0.4724306464195252,0.6409791,0.9717560410499572,106882.0,35264.0,8501765.0,203449.0
Adam,BCE,0.6,0.002,50,0.06824929267168045,0.97126025,0.27690756,0.7420426999999999,0.4033116400241852,0.6117854,0.9672622084617616,85933.0,29873.0,8507156.0,224398.0
Adam,BCE,0.6,0.003,25,0.0647049993276596,0.97372955,0.4132942,0.7180937,0.5246369242668152,0.66447085,0.9695407748222352,128258.0,50351.0,8486678.0,182073.0
Adam,BCE,0.6,0.003,50,0.0667678564786911,0.9718005999999999,0.2756476,0.7759404000000001,0.4067869186401367,0.6134251000000001,0.9670122861862184,85542.0,24701.0,8512328.0,224789.0
