Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.10103806108236313,0.9237318,0.8747415,0.39708075,0.5462131500244141,0.64789003,0.9643183946609497,33842.0,51385.0,647207.0,4846.0
Adam,BCE,0.2,0.001,50,0.08508342504501343,0.95069176,0.814542,0.5192282,0.6341919302940369,0.7064124,0.9703470468521118,31513.0,29179.0,669413.0,7175.0
Adam,BCE,0.2,0.002,25,0.10965841263532639,0.94084066,0.6984853,0.4582111,0.553392767906189,0.6605675,0.9527662992477417,27023.0,31952.0,666640.0,11665.0
Adam,BCE,0.2,0.002,50,0.12514781951904297,0.95016545,0.39960712,0.53358185,0.45697736740112305,0.6226277,0.9475758075714111,15460.0,13514.0,685078.0,23228.0
Adam,BCE,0.2,0.003,25,0.13089412450790405,0.95120305,0.43943858,0.54331917,0.48588863015174866,0.63547903,0.9353275299072266,17001.0,14290.0,684302.0,21687.0
Adam,BCE,0.2,0.003,50,0.11488914489746094,0.9196452,0.7842225,0.37347972,0.5059871077537537,0.6274366,0.9469685554504395,30340.0,50896.0,647696.0,8348.0
Adam,BCE,0.3,0.001,25,0.15333721041679382,0.9540731,0.23322478,0.6825781,0.34766027331352234,0.5819544,0.9167874455451965,9023.0,4196.0,694396.0,29665.0
Adam,BCE,0.3,0.001,50,0.08895546942949295,0.960319,0.6764888,0.60989934,0.6414706110954285,0.7155193,0.9672267436981201,26172.0,16740.0,681852.0,12516.0
Adam,BCE,0.3,0.002,25,0.11656604707241058,0.9497247,0.5069014,0.5215553,0.5141239762306213,0.64717907,0.9481529593467712,19611.0,17990.0,680602.0,19077.0
Adam,BCE,0.3,0.002,50,0.09196595847606659,0.95080566,0.79732734,0.5203961,0.6297619342803955,0.704129,0.9713602662086487,30847.0,28429.0,670163.0,7841.0
Adam,BCE,0.3,0.003,25,0.18475817143917084,0.947564,0.0031792803,0.5642202,0.006322932429611683,0.47536337,0.8662605881690979,123.0,95.0,698497.0,38565.0
Adam,BCE,0.3,0.003,50,0.10119109600782394,0.9480062,0.69752896,0.50330114,0.5847073793411255,0.6795831,0.9573549032211304,26986.0,26632.0,671960.0,11702.0
Adam,BCE,0.4,0.001,25,0.11211132258176804,0.9522298,0.20277606,0.6418753,0.3081909418106079,0.56694126,0.9506255388259888,7845.0,4377.0,694215.0,30843.0
Adam,BCE,0.4,0.001,50,0.08553329855203629,0.9624783,0.640457,0.64304996,0.6417508721351624,0.71682864,0.9714488387107849,24778.0,13754.0,684838.0,13910.0
Adam,BCE,0.4,0.002,25,0.1297105997800827,0.9504354,0.1964175,0.582165,0.293732225894928,0.5610341,0.931725263595581,7599.0,5454.0,693138.0,31089.0
Adam,BCE,0.4,0.002,50,0.08839991688728333,0.9638156,0.5766646,0.684146,0.6258240342140198,0.7090521,0.9689629673957825,22310.0,10300.0,688292.0,16378.0
Adam,BCE,0.4,0.003,25,0.4680561125278473,0.94752467,0.0,0.0,0.0,0.47376233,0.49631068110466003,0.0,1.0,698591.0,38688.0
Adam,BCE,0.4,0.003,50,0.10677412897348404,0.95571965,0.40534532,0.6192789,0.48997825384140015,0.6396208,0.9543446898460388,15682.0,9641.0,688951.0,23006.0
Adam,BCE,0.5,0.001,25,0.1247369796037674,0.9501451,0.07772436,0.73646826,0.14060929417610168,0.5127811,0.9362993240356445,3007.0,1076.0,697516.0,35681.0
Adam,BCE,0.5,0.001,50,0.08397956192493439,0.96509737,0.5661704,0.70994717,0.6299593448638916,0.71191967,0.9731495380401611,21904.0,8949.0,689643.0,16784.0
Adam,BCE,0.5,0.002,25,0.16542330384254456,0.94752604,0.0,0.0,0.0,0.47376302,0.8687117099761963,0.0,0.0,698592.0,38688.0
Adam,BCE,0.5,0.002,50,0.10459677129983902,0.95772165,0.5629911,0.6042724,0.5829017758369446,0.6838847,0.9658132791519165,21781.0,14264.0,684328.0,16907.0
Adam,BCE,0.5,0.003,25,0.11425317078828812,0.9514174,0.21368383,0.60497624,0.31581762433052063,0.5691931,0.9496430158615112,8267.0,5398.0,693194.0,30421.0
Adam,BCE,0.5,0.003,50,0.09604016691446304,0.96106637,0.39994314,0.73811,0.5187842845916748,0.65523696,0.9616214632987976,15473.0,5490.0,693102.0,23215.0
Adam,BCE,0.6,0.001,25,0.1152057871222496,0.94752604,0.0,0.0,0.0,0.47376302,0.9519997239112854,0.0,0.0,698592.0,38688.0
Adam,BCE,0.6,0.001,50,0.10264193266630173,0.95927054,0.2948201,0.8059069,0.43171024322509766,0.61695254,0.9570534825325012,11406.0,2747.0,695845.0,27282.0
Adam,BCE,0.6,0.002,25,0.1110338419675827,0.947522,0.0,0.0,0.0,0.473761,0.9505166411399841,0.0,3.0,698589.0,38688.0
Adam,BCE,0.6,0.002,50,0.0937655046582222,0.9604709,0.32296836,0.8089473,0.46163222193717957,0.6299344,0.9619951844215393,12495.0,2951.0,695641.0,26193.0
Adam,BCE,0.6,0.003,25,0.13969603180885315,0.94752604,0.0,0.0,0.0,0.47376302,0.9212194085121155,0.0,0.0,698592.0,38688.0
