Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.08310762047767639,0.9692993,0.4964482,0.56335175,0.5277882218360901,0.6636318,0.9490851759910583,25299.0,19609.0,1403991.0,25661.0
Adam,BCE,0.2,0.001,50,0.06752167642116547,0.972288,0.67199767,0.58645725,0.6263202428817749,0.7137863,0.9613511562347412,34245.0,24148.0,1399452.0,16715.0
Adam,BCE,0.2,0.002,25,0.07383093237876892,0.9630493,0.6770408,0.4756928,0.5587821006774902,0.67493963,0.9540209770202637,34502.0,38028.0,1385572.0,16458.0
Adam,BCE,0.2,0.002,50,0.07564271986484528,0.96008503,0.67378336,0.44843215,0.5384814143180847,0.6637866,0.9558757543563843,34336.0,42233.0,1381367.0,16624.0
Adam,BCE,0.2,0.003,25,0.11750631034374237,0.95503336,0.24996075,0.31203762,0.2775707542896271,0.55789614,0.8572250008583069,12738.0,28084.0,1395516.0,38222.0
Adam,BCE,0.2,0.003,50,0.0752800926566124,0.9613776,0.7116366,0.46185097,0.56015944480896,0.6747232,0.9590842723846436,36265.0,42256.0,1381344.0,14695.0
Adam,BCE,0.3,0.001,25,0.08252925425767899,0.969673,0.38153455,0.5955889,0.4651157259941101,0.6361488,0.947554886341095,19443.0,13202.0,1410398.0,31517.0
Adam,BCE,0.3,0.001,50,0.06397160142660141,0.9726474,0.64322996,0.5967305,0.6191083788871765,0.71018255,0.9706164598464966,32779.0,22152.0,1401448.0,18181.0
Adam,BCE,0.3,0.002,25,0.09810182452201843,0.97108495,0.31316718,0.6763721,0.42811349034309387,0.62156254,0.9205983281135559,15959.0,7636.0,1415964.0,35001.0
Adam,BCE,0.3,0.002,50,0.07321277260780334,0.97152644,0.49419153,0.60839736,0.5453796982765198,0.6729805,0.9609843492507935,25184.0,16210.0,1407390.0,25776.0
Adam,BCE,0.3,0.003,25,0.11375810950994492,0.95799965,0.2631868,0.35485238,0.3022218346595764,0.56781214,0.8885302543640137,13412.0,24384.0,1399216.0,37548.0
Adam,BCE,0.3,0.003,50,0.12420747429132462,0.9652364,0.010498431,0.39022613,0.020446771755814552,0.4877764,0.8297786712646484,535.0,836.0,1422764.0,50425.0
Adam,BCE,0.4,0.001,25,0.07505703717470169,0.96791244,0.60174644,0.531594,0.564499020576477,0.6802364,0.9583051204681396,30665.0,27020.0,1396580.0,20295.0
Adam,BCE,0.4,0.001,50,0.06619395315647125,0.9704678,0.73659736,0.5547804,0.6328896284103394,0.716318,0.9765971302986145,37537.0,30124.0,1393476.0,13423.0
Adam,BCE,0.4,0.002,25,0.07927218824625015,0.97036403,0.3234694,0.6412012,0.4300099313259125,0.6219612,0.9496623277664185,16484.0,9224.0,1414376.0,34476.0
Adam,BCE,0.4,0.002,50,0.07434846460819244,0.9707323,0.50310045,0.58974534,0.5429881811141968,0.67144346,0.9558457136154175,25638.0,17835.0,1405765.0,25322.0
Adam,BCE,0.4,0.003,25,0.08298048377037048,0.96810573,0.32953298,0.5662598,0.4166170656681061,0.6154283,0.9475824236869812,16793.0,12863.0,1410737.0,34167.0
Adam,BCE,0.4,0.003,50,0.07741652429103851,0.9683974,0.5675628,0.5407583,0.5538364052772522,0.67536724,0.9594432711601257,28923.0,24563.0,1399037.0,22037.0
Adam,BCE,0.5,0.001,25,0.06943540275096893,0.97298855,0.3814364,0.70056945,0.49393948912620544,0.65029776,0.9638702869415283,19438.0,8308.0,1415292.0,31522.0
Adam,BCE,0.5,0.001,50,0.07085907459259033,0.9730401,0.47113422,0.6522058,0.5470765233039856,0.6745644,0.9619755744934082,24009.0,12803.0,1410797.0,26951.0
Adam,BCE,0.5,0.002,25,0.08720644563436508,0.967195,0.085086346,0.7125719,0.15202033519744873,0.5246806,0.9414791464805603,4336.0,1749.0,1421851.0,46624.0
Adam,BCE,0.5,0.002,50,0.07381150126457214,0.9711243,0.5345958,0.59089035,0.5613352060317993,0.68037933,0.9627498388290405,27243.0,18862.0,1404738.0,23717.0
Adam,BCE,0.5,0.003,25,0.12441127747297287,0.9654405,0.0,0.0,0.0,0.48272026,0.831649661064148,0.0,0.0,1423600.0,50960.0
Adam,BCE,0.5,0.003,50,0.1353778839111328,0.9654405,0.0,0.0,0.0,0.48272026,0.8233698606491089,0.0,0.0,1423600.0,50960.0
Adam,BCE,0.6,0.001,25,0.07576699554920197,0.96725804,0.07456829,0.7723577,0.1360057294368744,0.52006906,0.9631931781768799,3800.0,1120.0,1422480.0,47160.0
Adam,BCE,0.6,0.001,50,0.06319072842597961,0.9754381,0.4839482,0.71314555,0.5766056180000305,0.69005615,0.9724937081336975,24662.0,9920.0,1413680.0,26298.0
Adam,BCE,0.6,0.002,25,0.08852532505989075,0.96843874,0.18124019,0.6573198,0.28413650393486023,0.5669168,0.9488930702209473,9236.0,4815.0,1418785.0,41724.0
Adam,BCE,0.6,0.002,50,0.07725898176431656,0.96671957,0.049568288,0.79785216,0.0933377668261528,0.50780797,0.9573953747749329,2526.0,640.0,1422960.0,48434.0
Adam,BCE,0.6,0.003,25,0.12832581996917725,0.9654405,0.0,0.0,0.0,0.48272026,0.8152403831481934,0.0,0.0,1423600.0,50960.0
Adam,BCE,0.6,0.003,50,0.06945319473743439,0.9742038,0.37649137,0.7538703,0.502185583114624,0.65457135,0.9590646624565125,19186.0,6264.0,1417336.0,31774.0
Adam,BCE,0.7,0.001,25,0.07585618644952774,0.96765,0.08155416,0.822319,0.1483914703130722,0.52385026,0.9586537480354309,4156.0,898.0,1422702.0,46804.0
Adam,BCE,0.7,0.001,50,0.059798695147037506,0.9738817,0.32682496,0.7983032,0.4637790322303772,0.63773966,0.9770233631134033,16655.0,4208.0,1419392.0,34305.0
Adam,BCE,0.7,0.002,25,0.08271528035402298,0.96549207,0.0019230769,0.81666666,0.0038371181581169367,0.48370603,0.9440885186195374,98.0,22.0,1423578.0,50862.0
Adam,BCE,0.7,0.002,50,0.07561668008565903,0.9665453,0.043171115,0.7939372,0.08188941329717636,0.504594,0.953690230846405,2200.0,571.0,1423029.0,48760.0
Adam,BCE,0.7,0.003,25,0.09016446769237518,0.9654405,0.0,0.0,0.0,0.48272026,0.9353805184364319,0.0,0.0,1423600.0,50960.0
Adam,BCE,0.7,0.003,50,0.10561400651931763,0.9654744,0.0016287285,0.7155172,0.003250058740377426,0.4835501,0.9073227047920227,83.0,33.0,1423567.0,50877.0
Adam,BCE,0.8,0.001,25,0.07973888516426086,0.9654602,0.0005690738,1.0,0.001137500163167715,0.4830143,0.9442374110221863,29.0,0.0,1423600.0,50931.0
Adam,BCE,0.8,0.001,50,0.07115768641233444,0.9720276,0.22994505,0.85389495,0.3623208701610565,0.596522,0.9573240280151367,11718.0,2005.0,1421595.0,39242.0
Adam,BCE,0.8,0.002,25,0.08862701803445816,0.9654412,1.9623234e-05,1.0,3.9245696825673804e-05,0.4827304,0.9476108551025391,1.0,0.0,1423600.0,50959.0
Adam,BCE,0.8,0.002,50,0.07016672194004059,0.9675964,0.07144819,0.88739944,0.13224850594997406,0.5191613,0.9613027572631836,3641.0,462.0,1423138.0,47319.0
Adam,BCE,0.8,0.003,25,0.08602568507194519,0.9654405,0.0,0.0,0.0,0.48272026,0.9380491375923157,0.0,0.0,1423600.0,50960.0
Adam,BCE,0.8,0.003,50,0.0924222320318222,0.96546227,0.0010007849,0.7285714,0.0019988243002444506,0.4832307,0.9296835660934448,51.0,19.0,1423581.0,50909.0
Adam,Dice,0.2,0.001,25,0.4500688314437866,0.9663995,0.6531397,0.5108512,0.5732986330986023,0.6837293,0.8388839960098267,33284.0,31870.0,1391730.0,17676.0
Adam,Dice,0.2,0.001,50,1.0,0.9654405,0.0,0.0,0.0,0.48272026,0.5,0.0,0.0,1423600.0,50960.0
Adam,Dice,0.2,0.002,25,0.94791579246521,0.8967875,0.08404631,0.03900764,0.05328473076224327,0.46192923,0.5049635767936707,4283.0,105516.0,1318084.0,46677.0
Adam,Dice,0.2,0.002,50,0.47753795981407166,0.9669115,0.56966245,0.5194038,0.5433734655380249,0.66964126,0.7852898240089417,29030.0,26861.0,1396739.0,21930.0
Adam,Dice,0.2,0.003,25,1.0,0.9654405,0.0,0.0,0.0,0.48272026,0.5,0.0,0.0,1423600.0,50960.0
Adam,Dice,0.2,0.003,50,0.9994024634361267,0.9651381,0.00021585557,0.023504274,0.00042778250644914806,0.48267588,0.4999474287033081,11.0,457.0,1423143.0,50949.0
Adam,Dice,0.3,0.001,25,0.5016800165176392,0.9714315,0.4590267,0.61639,0.5261950492858887,0.66400135,0.7405906915664673,23392.0,14558.0,1409042.0,27568.0
Adam,Dice,0.3,0.001,50,1.0,0.9654405,0.0,0.0,0.0,0.48272026,0.5,0.0,0.0,1423600.0,50960.0
Adam,Dice,0.3,0.002,25,0.46819007396698,0.9614624,0.6834184,0.4611626,0.5507116317749023,0.6702589,0.8442894816398621,34827.0,40693.0,1382907.0,16133.0
