Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.09994716197252274,0.94640297,0.6530734,0.37398955,0.4756116569042206,0.6285356,0.9392536282539368,53761.0,89990.0,2039530.0,28559.0
Adam,BCE,0.2,0.001,50,0.06279751658439636,0.96755236,0.77575314,0.5450247,0.6402357816696167,0.7187154,0.9734728336334229,63860.0,53309.0,2076211.0,18460.0
Adam,BCE,0.2,0.002,25,0.09287361800670624,0.9564788,0.62628764,0.4404463,0.5171787738800049,0.65211016,0.9476044774055481,51556.0,65498.0,2064022.0,30764.0
Adam,BCE,0.2,0.002,50,0.07865872979164124,0.9650142,0.6152818,0.5256167,0.5669258236885071,0.67989767,0.9593926668167114,50650.0,45713.0,2083807.0,31670.0
Adam,BCE,0.2,0.003,25,0.10314860939979553,0.9561533,0.45705783,0.41846472,0.4369106590747833,0.61745596,0.9207512140274048,37625.0,52287.0,2077233.0,44695.0
Adam,BCE,0.2,0.003,50,0.09303643554449081,0.94158846,0.65697277,0.34882385,0.4556940197944641,0.61760235,0.9435242414474487,54082.0,100959.0,2028561.0,28238.0
Adam,BCE,0.3,0.001,25,0.09471665322780609,0.9661395,0.32802477,0.57971233,0.41897591948509216,0.6153619,0.9430791139602661,27003.0,19577.0,2109943.0,55317.0
Adam,BCE,0.3,0.001,50,0.07410940527915955,0.9743318,0.5325437,0.70557845,0.6069697737693787,0.7047659,0.9561383724212646,43839.0,18293.0,2111227.0,38481.0
Adam,BCE,0.3,0.002,25,0.13701792061328888,0.963147,0.02781827,0.6069441,0.05319828912615776,0.49521738,0.8639878034591675,2290.0,1483.0,2128037.0,80030.0
Adam,BCE,0.3,0.002,50,0.07642888277769089,0.9661947,0.60200435,0.5412162,0.5699941515922546,0.6820078,0.9647020101547241,49557.0,42009.0,2087511.0,32763.0
Adam,BCE,0.3,0.003,25,0.10300438851118088,0.9646276,0.25262392,0.5544122,0.3470917046070099,0.5871402,0.9239875078201294,20796.0,16714.0,2112806.0,61524.0
Adam,BCE,0.3,0.003,50,0.07933461666107178,0.9669235,0.5323251,0.55835736,0.5450305342674255,0.6704271,0.9586634635925293,43821.0,34661.0,2094859.0,38499.0
Adam,BCE,0.4,0.001,25,0.0853935182094574,0.9670568,0.3343173,0.6037028,0.43032827973365784,0.6203968,0.9508911371231079,27521.0,18066.0,2111454.0,54799.0
Adam,BCE,0.4,0.001,50,0.07136217504739761,0.97209114,0.4715865,0.6804494,0.5570846199989319,0.6788376,0.9687653183937073,38821.0,18231.0,2111289.0,43499.0
Adam,BCE,0.4,0.002,25,0.11623242497444153,0.9631953,0.15665695,0.5183696,0.24060150980949402,0.54986584,0.9359738230705261,12896.0,11982.0,2117538.0,69424.0
Adam,BCE,0.4,0.002,50,0.09219115227460861,0.96557665,0.26044703,0.5842121,0.3602786064147949,0.5924796,0.9416242241859436,21440.0,15259.0,2114261.0,60880.0
Adam,BCE,0.4,0.003,25,0.10638151317834854,0.9637451,0.10564869,0.569772,0.17824643850326538,0.5307227,0.9114670753479004,8697.0,6567.0,2122953.0,73623.0
Adam,BCE,0.4,0.003,50,0.12458503246307373,0.9628644,0.00505345,0.64,0.010027720592916012,0.4839483,0.8827226161956787,416.0,234.0,2129286.0,81904.0
Adam,BCE,0.5,0.001,25,0.08353468030691147,0.964988,0.11218416,0.6794938,0.1925743669271469,0.5356937,0.9538822770118713,9235.0,4356.0,2125164.0,73085.0
