Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.06987453997135162,0.9579522,0.7736656,0.43858323,0.5598137378692627,0.67275316,0.9694369435310364,39426.0,50468.0,1373132.0,11534.0
Adam,BCE,0.2,0.001,50,0.06887613236904144,0.9683974,0.68899137,0.53309953,0.6011025309562683,0.6986619,0.9622927904129028,35111.0,30751.0,1392849.0,15849.0
Adam,BCE,0.2,0.002,25,0.08695986121892929,0.9410977,0.70755494,0.33383328,0.453635573387146,0.61648875,0.951074481010437,36057.0,71952.0,1351648.0,14903.0
Adam,BCE,0.2,0.002,50,0.0860699936747551,0.9604336,0.5402865,0.44088778,0.4855523109436035,0.6401471,0.9458698034286499,27533.0,34916.0,1388684.0,23427.0
Adam,BCE,0.2,0.003,25,0.10196071118116379,0.9550883,0.35704473,0.35224083,0.35462650656700134,0.58502835,0.9160733819007874,18195.0,33460.0,1390140.0,32765.0
Adam,BCE,0.2,0.003,50,0.06865048408508301,0.9603848,0.7586342,0.45603067,0.5696393251419067,0.6787835,0.9677226543426514,38660.0,46115.0,1377485.0,12300.0
Adam,BCE,0.3,0.001,25,0.07241196185350418,0.9714925,0.5884812,0.58739763,0.5879389643669128,0.693635,0.9613211154937744,29989.0,21065.0,1402535.0,20971.0
Adam,BCE,0.3,0.001,50,0.06794418394565582,0.97362334,0.58265305,0.62749904,0.6042450666427612,0.7029988,0.9627645015716553,29692.0,17626.0,1405974.0,21268.0
Adam,BCE,0.3,0.002,25,0.08393631130456924,0.96241456,0.501354,0.45984522,0.4797033369541168,0.63864225,0.9475085735321045,25549.0,30011.0,1393589.0,25411.0
Adam,BCE,0.3,0.002,50,0.06799636781215668,0.97386134,0.56516874,0.6374018,0.5991159677505493,0.70050526,0.9675449728965759,28801.0,16384.0,1407216.0,22159.0
Adam,BCE,0.3,0.003,25,0.11576519161462784,0.96303236,0.04440738,0.28017828,0.0766637846827507,0.5014177,0.887361466884613,2263.0,5814.0,1417786.0,48697.0
Adam,BCE,0.3,0.003,50,0.06632436066865921,0.9700779,0.7044545,0.5526324,0.619375467300415,0.70897543,0.9728901386260986,35899.0,29061.0,1394539.0,15061.0
Adam,BCE,0.4,0.001,25,0.07771946489810944,0.96963227,0.3920526,0.5914972,0.47155317664146423,0.63886654,0.9508280158042908,19979.0,13798.0,1409802.0,30981.0
Adam,BCE,0.4,0.001,50,0.06255941838026047,0.97524005,0.6371468,0.6431033,0.6401112079620361,0.7226955,0.9763852953910828,32469.0,18019.0,1405581.0,18491.0
Adam,BCE,0.4,0.002,25,0.07783504575490952,0.96952516,0.42350864,0.5810829,0.4899376928806305,0.6467606,0.9563387632369995,21582.0,15559.0,1408041.0,29378.0
Adam,BCE,0.4,0.002,50,0.07781486213207245,0.9740628,0.47097725,0.6801462,0.556557834148407,0.6796052,0.947047770023346,24001.0,11287.0,1412313.0,26959.0
Adam,BCE,0.4,0.003,25,0.07649926841259003,0.9693407,0.43616563,0.5742966,0.4957897663116455,0.64923644,0.956825852394104,22227.0,16476.0,1407124.0,28733.0
Adam,BCE,0.4,0.003,50,0.10740242153406143,0.96504045,0.028983517,0.4167607,0.05419785901904106,0.49642953,0.9245195388793945,1477.0,2067.0,1421533.0,49483.0
