Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.07088758796453476,0.96724856,0.7197299,0.57237786,0.6376518607139587,0.7171651,0.9739258885383606,63740.0,47620.0,2075659.0,24821.0
Adam,BCE,0.2,0.001,50,0.07084961980581284,0.96924686,0.70726395,0.59805983,0.6481008529663086,0.7238716,0.9677614569664001,62637.0,42096.0,2081183.0,25924.0
Adam,BCE,0.2,0.002,25,0.08966849744319916,0.9382541,0.8023735,0.373741,0.5099501013755798,0.6392208,0.9604043364524841,71059.0,119070.0,2004209.0,17502.0
Adam,BCE,0.2,0.002,50,0.085865817964077,0.9479438,0.77255225,0.41867638,0.5430517196655273,0.6595072,0.9627384543418884,68418.0,94997.0,2028282.0,20143.0
Adam,BCE,0.2,0.003,25,0.10157835483551025,0.9534505,0.520308,0.4324352,0.47231927514076233,0.6308171,0.9300987720489502,46079.0,60478.0,2062801.0,42482.0
Adam,BCE,0.2,0.003,50,0.0738580971956253,0.9658569,0.6983887,0.5589293,0.620924711227417,0.70756096,0.9725387096405029,61850.0,48808.0,2074471.0,26711.0
Adam,BCE,0.3,0.001,25,0.09223980456590652,0.9670333,0.396337,0.64337564,0.49050775170326233,0.64572525,0.9453626871109009,35100.0,19456.0,2103823.0,53461.0
Adam,BCE,0.3,0.001,50,0.07121892273426056,0.97154087,0.65321076,0.6421673,0.6476419568061829,0.7248374,0.9646826386451721,57849.0,32235.0,2091044.0,30712.0
Adam,BCE,0.3,0.002,25,0.08266302198171616,0.9580435,0.74996895,0.4845341,0.5887154936790466,0.68694663,0.9711437225341797,66418.0,70658.0,2052621.0,22143.0
Adam,BCE,0.3,0.002,50,0.08257677406072617,0.9669786,0.5277831,0.5995588,0.561385989189148,0.6782464,0.9578306674957275,46741.0,31218.0,2092061.0,41820.0
Adam,BCE,0.3,0.003,25,0.08425994217395782,0.9672838,0.50759363,0.60987955,0.5540553331375122,0.67489195,0.9576988816261292,44953.0,28755.0,2094524.0,43608.0
Adam,BCE,0.3,0.003,50,0.0705636516213417,0.96540254,0.7182055,0.55225617,0.624392569065094,0.70914066,0.9734188914299011,63605.0,51568.0,2071711.0,24956.0
Adam,BCE,0.4,0.001,25,0.07022321224212646,0.9707628,0.6029855,0.6440917,0.6228611469268799,0.7111629,0.976443350315094,53401.0,29508.0,2093771.0,35160.0
Adam,BCE,0.4,0.001,50,0.07140752673149109,0.9732028,0.5374375,0.72222394,0.6162770390510559,0.70899475,0.9676373600959778,47596.0,18306.0,2104973.0,40965.0
Adam,BCE,0.4,0.002,25,0.10968941450119019,0.9618684,0.090784885,0.67790896,0.16012586653232574,0.5243801,0.9317393898963928,8040.0,3820.0,2119459.0,80521.0
Adam,BCE,0.4,0.002,50,0.0684613510966301,0.97042644,0.6525559,0.6252204,0.6385957598686218,0.7193522,0.973305881023407,57791.0,34642.0,2088637.0,30770.0
Adam,BCE,0.4,0.003,25,0.08432348817586899,0.9673679,0.3671029,0.668428,0.4739246964454651,0.6387162,0.9606716632843018,32511.0,16127.0,2107152.0,56050.0
Adam,BCE,0.4,0.003,50,0.07174957543611526,0.9700245,0.5938054,0.6342322,0.6133533716201782,0.7058115,0.9696788191795349,52588.0,30328.0,2092951.0,35973.0
Adam,BCE,0.5,0.001,25,0.07149948179721832,0.96950275,0.3787559,0.7295128,0.4986286759376526,0.6505743,0.9714604616165161,33543.0,12437.0,2110842.0,55018.0
Adam,BCE,0.5,0.001,50,0.07844745367765427,0.97392535,0.49839094,0.7691155,0.604841411113739,0.7034616,0.9539669156074524,44138.0,13250.0,2110029.0,44423.0
Adam,BCE,0.5,0.002,25,0.11556564271450043,0.95996046,0.0,0.0,0.0,0.47998023,0.9126759171485901,0.0,0.0,2123279.0,88561.0
Adam,BCE,0.5,0.002,50,0.06536553055047989,0.9731197,0.5637696,0.7056961,0.6267991662025452,0.71447504,0.979089081287384,49928.0,20822.0,2102457.0,38633.0
Adam,BCE,0.5,0.003,25,0.08140174299478531,0.9662141,0.27936676,0.6939972,0.39837050437927246,0.6072801,0.9622592329978943,24741.0,10909.0,2112370.0,63820.0
Adam,BCE,0.5,0.003,50,0.07208258658647537,0.96955925,0.579736,0.6303267,0.6039738059043884,0.7007369,0.9744086861610413,51342.0,30111.0,2093168.0,37219.0
Adam,BCE,0.6,0.001,25,0.09759406745433807,0.95996046,0.0,0.0,0.0,0.47998023,0.9490810632705688,0.0,0.0,2123279.0,88561.0
