Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.061880648136138916,0.9642953,0.8131074,0.5128215,0.6289612054824829,0.71096456,0.9777560234069824,66935.0,63588.0,2065932.0,15385.0
Adam,BCE,0.2,0.001,50,0.06865856796503067,0.972177,0.654276,0.61950773,0.6364173889160156,0.7191035,0.9671975374221802,53860.0,33080.0,2096440.0,28460.0
Adam,BCE,0.2,0.002,25,0.06328700482845306,0.96532166,0.79478866,0.5224255,0.6304485201835632,0.71229833,0.9775576591491699,65427.0,59810.0,2069710.0,16893.0
Adam,BCE,0.2,0.002,50,0.06381076574325562,0.9661743,0.7709427,0.531413,0.6291506290435791,0.7120623,0.9743422865867615,63464.0,55961.0,2073559.0,18856.0
Adam,BCE,0.2,0.003,25,0.06434433907270432,0.9615361,0.8145894,0.48993206,0.6118618249893188,0.70055616,0.9768433570861816,67057.0,69813.0,2059707.0,15263.0
Adam,BCE,0.2,0.003,50,0.06911510974168777,0.9539017,0.83417153,0.4374379,0.5739156007766724,0.67743313,0.9738157987594604,68669.0,88311.0,2041209.0,13651.0
Adam,BCE,0.3,0.001,25,0.062291137874126434,0.9737739,0.6585156,0.6445319,0.6514487266540527,0.728094,0.975933849811554,54209.0,29897.0,2099623.0,28111.0
Adam,BCE,0.3,0.001,50,0.07191456854343414,0.97332764,0.56081146,0.6690046,0.6101489067077637,0.70588106,0.9643800258636475,46166.0,22841.0,2106679.0,36154.0
Adam,BCE,0.3,0.002,25,0.06559736281633377,0.97286737,0.6244169,0.638558,0.6314082741737366,0.716789,0.9730861783027649,51402.0,29095.0,2100425.0,30918.0
Adam,BCE,0.3,0.002,50,0.0623023621737957,0.97294515,0.6682945,0.6283795,0.6477226614952087,0.7256208,0.9762900471687317,55014.0,32535.0,2096985.0,27306.0
