Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.06780760735273361,0.95887315,0.76793563,0.44494724,0.5634358525276184,0.67498136,0.9694916009902954,39134.0,48818.0,1374782.0,11826.0
Adam,BCE,0.2,0.001,50,0.06141722947359085,0.97043186,0.72291994,0.5554885,0.6282401084899902,0.71382767,0.9736870527267456,36840.0,29480.0,1394120.0,14120.0
Adam,BCE,0.2,0.002,25,0.08526403456926346,0.9510444,0.63875586,0.37705317,0.4741933047771454,0.63036066,0.945207417011261,32551.0,53779.0,1369821.0,18409.0
Adam,BCE,0.2,0.002,50,0.06742105633020401,0.96304595,0.733124,0.477438,0.5782789587974548,0.6844155,0.9691717624664307,37360.0,40891.0,1382709.0,13600.0
Adam,BCE,0.2,0.003,25,0.10004647821187973,0.9351678,0.67362636,0.3029966,0.4179842472076416,0.5989162,0.9355605244636536,34328.0,78967.0,1344633.0,16632.0
Adam,BCE,0.2,0.003,50,0.06413605809211731,0.9629015,0.78646,0.47768772,0.5943644642829895,0.6923545,0.9747728109359741,40078.0,43822.0,1379778.0,10882.0
Adam,BCE,0.3,0.001,25,0.06922765076160431,0.96930474,0.6114992,0.5503126,0.5792946815490723,0.6881968,0.9656853675842285,31162.0,25464.0,1398136.0,19798.0
Adam,BCE,0.3,0.001,50,0.07134812325239182,0.9756592,0.6057496,0.6614313,0.6323671340942383,0.7187597,0.9515826106071472,30869.0,15801.0,1407799.0,20091.0
Adam,BCE,0.3,0.002,25,0.07345500588417053,0.9655009,0.6117543,0.5007147,0.5506929159164429,0.6723628,0.9610193371772766,31175.0,31086.0,1392514.0,19785.0
Adam,BCE,0.3,0.002,50,0.08698229491710663,0.96971977,0.34591836,0.60899603,0.44121840596199036,0.6262034,0.943024218082428,17628.0,11318.0,1412282.0,33332.0
Adam,BCE,0.3,0.003,25,0.08207734674215317,0.9665371,0.48333988,0.51696926,0.49958929419517517,0.64946854,0.9444496631622314,24631.0,23014.0,1400586.0,26329.0
Adam,BCE,0.3,0.003,50,0.06899652630090714,0.96360475,0.7281201,0.4824031,0.580323338508606,0.68571836,0.9718080163002014,37105.0,39812.0,1383788.0,13855.0
Adam,BCE,0.4,0.001,25,0.06801918894052505,0.97310317,0.52631474,0.6334223,0.5749225616455078,0.6880187,0.9634274840354919,26821.0,15522.0,1408078.0,24139.0
Adam,BCE,0.4,0.001,50,0.058465857058763504,0.97776085,0.5861656,0.71848464,0.6456151008605957,0.7269931,0.9719183444976807,29871.0,11704.0,1411896.0,21089.0
Adam,BCE,0.4,0.002,25,0.0753956064581871,0.9712986,0.37933674,0.6438516,0.477402925491333,0.6422312,0.956355631351471,19331.0,10693.0,1412907.0,31629.0
Adam,BCE,0.4,0.002,50,0.07949547469615936,0.9696411,0.33177,0.6121289,0.4303130805492401,0.62171423,0.9524085521697998,16907.0,10713.0,1412887.0,34053.0
