Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.06288328021764755,0.9602322,0.8277931,0.4584605,0.5901020169258118,0.68880135,0.9758064150810242,42210.0,49859.0,1373710.0,8781.0
Adam,BCE,0.2,0.001,50,0.06119414418935776,0.9678935,0.75007355,0.52503914,0.6176990866661072,0.7069507,0.9734257459640503,38247.0,34599.0,1388970.0,12744.0
Adam,BCE,0.2,0.002,25,0.0644557848572731,0.9650194,0.77439153,0.4962923,0.6049098372459412,0.698828,0.9681936502456665,39487.0,40077.0,1383492.0,11504.0
Adam,BCE,0.2,0.002,50,0.05823357775807381,0.96584743,0.8146928,0.50382644,0.622613251209259,0.7084412,0.9780711531639099,41542.0,40911.0,1382658.0,9449.0
Adam,BCE,0.2,0.003,25,0.0713866725564003,0.96448296,0.69618165,0.49045995,0.5754883885383606,0.6837984,0.9611223340034485,35499.0,36880.0,1386689.0,15492.0
Adam,BCE,0.2,0.003,50,0.11226724833250046,0.95259196,0.26492912,0.29410228,0.27875450253486633,0.5570515,0.8900806307792664,13509.0,32424.0,1391145.0,37482.0
Adam,BCE,0.3,0.001,25,0.07227727770805359,0.9634915,0.7796866,0.48273978,0.5962893962860107,0.6936375,0.9763979911804199,39757.0,42600.0,1380969.0,11234.0
Adam,BCE,0.3,0.001,50,0.06499990075826645,0.96866184,0.74160147,0.53374076,0.6207321286201477,0.70894086,0.9746270179748535,37815.0,33034.0,1390535.0,13176.0
Adam,BCE,0.3,0.002,25,0.07518858462572098,0.96799314,0.561805,0.535468,0.5483204126358032,0.67253673,0.9587701559066772,28647.0,24852.0,1398717.0,22344.0
Adam,BCE,0.3,0.002,50,0.05710473656654358,0.97178686,0.75613344,0.5693191,0.6495611071586609,0.7260147,0.9790400862693787,38556.0,29167.0,1394402.0,12435.0
Adam,BCE,0.3,0.003,25,0.10334312915802002,0.9650275,0.027298935,0.41403925,0.05122072249650955,0.495639,0.9141611456871033,1392.0,1970.0,1421599.0,49599.0
Adam,BCE,0.3,0.003,50,0.060670625418424606,0.9724467,0.6931223,0.58588624,0.6350087523460388,0.7184905,0.9727730751037598,35343.0,24981.0,1398588.0,15648.0
Adam,BCE,0.4,0.001,25,0.06077553331851959,0.9745531,0.52436703,0.66831636,0.5876547694206238,0.69508374,0.9753776788711548,26738.0,13270.0,1410299.0,24253.0
