Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.05813458189368248,0.9623461,0.8547587,0.47528952,0.6108918786048889,0.70048594,0.9805323481559753,43585.0,48117.0,1375452.0,7406.0
Adam,BCE,0.2,0.001,50,0.06676582992076874,0.9742506,0.62993467,0.6271183,0.6285233497619629,0.7159797,0.9684838652610779,32121.0,19099.0,1404470.0,18870.0
Adam,BCE,0.2,0.002,25,0.11763846129179001,0.96106905,0.1497323,0.3520867,0.2101106196641922,0.539127,0.8880485892295837,7635.0,14050.0,1409519.0,43356.0
Adam,BCE,0.2,0.002,50,0.0629613995552063,0.958648,0.8548567,0.44861832,0.5884338021278381,0.6871271,0.9779210090637207,43590.0,53575.0,1369994.0,7401.0
Adam,BCE,0.2,0.003,25,0.08044179528951645,0.9312405,0.85642564,0.3170489,0.4627774953842163,0.6150949,0.9644601941108704,43670.0,94069.0,1329500.0,7321.0
Adam,BCE,0.2,0.003,50,0.08004215359687805,0.950101,0.7375419,0.38452414,0.505500853061676,0.64351803,0.9572436809539795,37608.0,60196.0,1363373.0,13383.0
Adam,BCE,0.3,0.001,25,0.06050817295908928,0.97066516,0.754035,0.55591863,0.639995276927948,0.7202315,0.9784192442893982,38449.0,30714.0,1392855.0,12542.0
Adam,BCE,0.3,0.001,50,0.07110215723514557,0.97369045,0.5674727,0.6335056,0.5986738204956055,0.7001916,0.9541182518005371,28936.0,16740.0,1406829.0,22055.0
Adam,BCE,0.3,0.002,25,0.07083433866500854,0.9703098,0.5563531,0.57279867,0.5644561052322388,0.6814638,0.9661719799041748,28369.0,21158.0,1402411.0,22622.0
Adam,BCE,0.3,0.002,50,0.09717437624931335,0.9755215,0.5179738,0.6963721,0.5940687656402588,0.69880986,0.9309568405151367,26412.0,11516.0,1412053.0,24579.0
Adam,BCE,0.3,0.003,25,0.09083236008882523,0.95928615,0.5229943,0.42750883,0.4704554080963135,0.6330575,0.9451526999473572,26668.0,35712.0,1387857.0,24323.0
Adam,BCE,0.3,0.003,50,0.07437165081501007,0.97265285,0.5029515,0.6312706,0.5598524808883667,0.6804577,0.9602583050727844,25646.0,14980.0,1408589.0,25345.0
Adam,BCE,0.4,0.001,25,0.06326107680797577,0.9708103,0.6933184,0.5633316,0.6216021776199341,0.7105266,0.9762362837791443,35353.0,27404.0,1396165.0,15638.0
