Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.0654243603348732,0.97424644,0.66878915,0.62398833,0.6456114053726196,0.72515506,0.963191032409668,207546.0,125067.0,8411962.0,102785.0
Adam,BCE,0.2,0.001,50,0.06431306898593903,0.9771422,0.7639295,0.6476607,0.7010067701339722,0.7580833,0.956809401512146,237071.0,128971.0,8408058.0,73260.0
Adam,BCE,0.2,0.002,25,0.06920590996742249,0.96771604,0.6760008,0.53128034,0.594966471195221,0.69519275,0.9656105637550354,209784.0,185081.0,8351948.0,100547.0
Adam,BCE,0.2,0.002,50,0.06206468492746353,0.9760727,0.6922995,0.6489793,0.6699398159980774,0.73958427,0.9655653834342957,214842.0,116204.0,8420825.0,95489.0
Adam,BCE,0.2,0.003,25,0.0889841765165329,0.9562741,0.54549176,0.40781847,0.4667139947414398,0.62990457,0.9378893971443176,169283.0,245811.0,8291218.0,141048.0
Adam,BCE,0.2,0.003,50,0.07112491875886917,0.97487885,0.6627246,0.6362323,0.6492083072662354,0.7274471,0.9509221315383911,205664.0,117589.0,8419440.0,104667.0
Adam,BCE,0.3,0.001,25,0.05767824128270149,0.97511405,0.70339733,0.6301268,0.6647491455078125,0.7361653,0.9751120805740356,218286.0,128130.0,8408899.0,92045.0
Adam,BCE,0.3,0.001,50,0.062745600938797,0.97871137,0.7070064,0.6925061,0.6996811032295227,0.7581271,0.9628034830093384,219406.0,97423.0,8439606.0,90925.0
Adam,BCE,0.3,0.002,25,0.07011083513498306,0.9675589,0.6669975,0.5298374,0.5905579924583435,0.69289154,0.9699223041534424,206990.0,183677.0,8353352.0,103341.0
Adam,BCE,0.3,0.002,50,0.0712377205491066,0.9704072,0.5654124,0.5802088,0.5727150440216064,0.6855352,0.9629964828491211,175465.0,126952.0,8410077.0,134866.0
Adam,BCE,0.3,0.003,25,0.1059524193406105,0.96083015,0.22826917,0.39820233,0.29018816351890564,0.56511664,0.9001368284225464,70839.0,107058.0,8429971.0,239492.0
Adam,BCE,0.3,0.003,50,0.0678396001458168,0.9742732,0.6132935,0.63881904,0.6257960796356201,0.7145479,0.9607357978820801,190324.0,107607.0,8429422.0,120007.0
Adam,BCE,0.4,0.001,25,0.05777565762400627,0.9775309,0.61569744,0.706095,0.6578050851821899,0.73356575,0.9750276207923889,191070.0,79531.0,8457498.0,119261.0
Adam,BCE,0.4,0.001,50,0.06842172890901566,0.97979295,0.5920936,0.7787851,0.6727271676063538,0.7431067,0.9461038708686829,183745.0,52193.0,8484836.0,126586.0
Adam,BCE,0.4,0.002,25,0.06971088796854019,0.97428757,0.39379242,0.756375,0.5179339647293091,0.66169703,0.9658944010734558,122206.0,39361.0,8497668.0,188125.0
Adam,BCE,0.4,0.002,50,0.07495210319757462,0.9761756,0.5371877,0.7128331,0.6126701235771179,0.7086682,0.9457225203514099,166706.0,67158.0,8469871.0,143625.0
Adam,BCE,0.4,0.003,25,0.08050481975078583,0.9693754,0.36753017,0.6043406,0.4570842385292053,0.6326113,0.9572256207466125,114056.0,74672.0,8462357.0,196275.0
Adam,BCE,0.4,0.003,50,0.061511144042015076,0.9756258,0.61849123,0.6637055,0.6403011679649353,0.7229996,0.9739489555358887,191937.0,97253.0,8439776.0,118394.0
Adam,BCE,0.5,0.001,25,0.06288274377584457,0.9754225,0.500833,0.71307516,0.5883995890617371,0.69590735,0.9709157347679138,155424.0,62539.0,8474490.0,154907.0
Adam,BCE,0.5,0.001,50,0.07319732010364532,0.9784754,0.600852,0.7369176,0.6619651317596436,0.7363707,0.9490067958831787,186463.0,66568.0,8470461.0,123868.0
Adam,BCE,0.5,0.002,25,0.06106102466583252,0.97621006,0.5584424,0.70233554,0.6221776604652405,0.7136504,0.972754180431366,173302.0,73449.0,8463580.0,137029.0
Adam,BCE,0.5,0.002,50,0.07701459527015686,0.9766851,0.534236,0.72867036,0.6164858937263489,0.7109171,0.9446886777877808,165790.0,61734.0,8475295.0,144541.0
Adam,BCE,0.5,0.003,25,0.08859991282224655,0.9681245,0.19153097,0.6563456,0.29653024673461914,0.5709916,0.9358680248260498,59438.0,31121.0,8505908.0,250893.0
Adam,BCE,0.5,0.003,50,0.06433523446321487,0.9756157,0.5093819,0.71347266,0.59439617395401,0.69902414,0.969737708568573,158077.0,63483.0,8473546.0,152254.0
Adam,BCE,0.6,0.001,25,0.05978219956159592,0.97597885,0.42818153,0.7911807,0.5556493997573853,0.680159,0.974628210067749,132878.0,35071.0,8501958.0,177453.0
Adam,BCE,0.6,0.001,50,0.0717841237783432,0.9792485,0.5300373,0.81332976,0.641812801361084,0.72570324,0.9463578462600708,164487.0,37752.0,8499277.0,145844.0
Adam,BCE,0.6,0.002,25,0.062323492020368576,0.9752784,0.48129255,0.7211627,0.5773025155067444,0.69031703,0.9753456711769104,149360.0,57750.0,8479279.0,160971.0
Adam,BCE,0.6,0.002,50,0.06614598631858826,0.97546965,0.45276496,0.7485243,0.5642364025115967,0.6840304,0.9655973315238953,140507.0,47205.0,8489824.0,169824.0
Adam,BCE,0.6,0.003,25,0.06394575536251068,0.9741984,0.38762483,0.7588012,0.513125479221344,0.65947306,0.9711756706237793,120292.0,38237.0,8498792.0,190039.0
Adam,BCE,0.6,0.003,50,0.07010824233293533,0.97595316,0.44574985,0.77244806,0.565291702747345,0.6847915,0.955153226852417,138330.0,40750.0,8496279.0,172001.0
Adam,BCE,0.7,0.001,25,0.057866502553224564,0.97734195,0.481676,0.7905136,0.5986079573631287,0.7020525,0.9795325398445129,149479.0,39612.0,8497417.0,160852.0
Adam,BCE,0.7,0.001,50,0.07189422845840454,0.98058325,0.59846747,0.7974298,0.6837692260742188,0.7498286,0.9499983787536621,185723.0,47179.0,8489850.0,124608.0
Adam,BCE,0.7,0.002,25,0.06296510249376297,0.97385603,0.33477804,0.80687803,0.47321614623069763,0.6417442,0.9713177680969238,103892.0,24866.0,8512163.0,206439.0
Adam,BCE,0.7,0.002,50,0.07461252063512802,0.9752994,0.3970148,0.7968516,0.5299786925315857,0.6677376,0.9458808302879333,123206.0,31410.0,8505619.0,187125.0
Adam,BCE,0.7,0.003,25,0.07052909582853317,0.96942204,0.169461,0.8043468,0.2799431383609772,0.56599575,0.9627353549003601,52589.0,12792.0,8524237.0,257742.0
Adam,BCE,0.7,0.003,50,0.0734194740653038,0.9757582,0.44106454,0.7694115,0.5607052445411682,0.68247336,0.951353907585144,136876.0,41021.0,8496008.0,173455.0
Adam,BCE,0.8,0.001,25,0.06129748001694679,0.97336835,0.29211712,0.85044324,0.43486371636390686,0.6254683,0.9708943367004395,90653.0,15942.0,8521087.0,219678.0
Adam,BCE,0.8,0.001,50,0.06265873461961746,0.97875005,0.4902894,0.83609647,0.6181145906448364,0.7128381,0.963408350944519,152152.0,29827.0,8507202.0,158179.0
Adam,BCE,0.8,0.002,25,0.06294127553701401,0.97186226,0.2488472,0.8298053,0.38287535309791565,0.6041888,0.9758172631263733,77225.0,15839.0,8521190.0,233106.0
Adam,BCE,0.8,0.002,50,0.07147753238677979,0.97597396,0.43465847,0.78417784,0.5593032240867615,0.6819096,0.9573426842689514,134888.0,37124.0,8499905.0,175443.0
Adam,BCE,0.8,0.003,25,0.07321185618638992,0.9656444,0.027261214,0.80227596,0.05273064970970154,0.49634543,0.9651033282279968,8460.0,2085.0,8534944.0,301871.0
Adam,BCE,0.8,0.003,50,0.07087021321058273,0.9754293,0.39199436,0.8090934,0.5281213521957397,0.66694725,0.9560321569442749,121648.0,28703.0,8508326.0,188683.0
Adam,Dice,0.2,0.001,25,0.37631237506866455,0.9757568,0.5994567,0.6734922,0.6343214511871338,0.71985483,0.8016703128814697,186030.0,90187.0,8446842.0,124301.0
Adam,Dice,0.2,0.001,50,0.39340445399284363,0.974784,0.6073064,0.65056473,0.6281917095184326,0.7160825,0.8026236891746521,188466.0,101230.0,8435799.0,121865.0
Adam,Dice,0.2,0.002,25,0.4465683400630951,0.961668,0.70394194,0.4690734,0.5629943013191223,0.67624027,0.841304361820221,218455.0,247261.0,8289768.0,91876.0
Adam,Dice,0.2,0.002,50,0.9391392469406128,0.73246676,0.2500685,0.03508572,0.06153745949268341,0.3809224,0.5000354647636414,77604.0,2134236.0,6402793.0,232727.0
Adam,Dice,0.2,0.003,25,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.2,0.003,50,0.9347619414329529,0.5000537,0.5007653,0.0351298,0.06565383821725845,0.26252815,0.5003965497016907,155403.0,4268277.0,4268752.0,154928.0
Adam,Dice,0.3,0.001,25,0.4184926748275757,0.9657324,0.71174,0.50822943,0.5930103063583374,0.69316477,0.852359414100647,220875.0,213722.0,8323307.0,89456.0
Adam,Dice,0.3,0.001,50,0.400804728269577,0.971686,0.6330273,0.58981174,0.6106559038162231,0.7052856,0.8164978623390198,196448.0,136621.0,8400408.0,113883.0
Adam,Dice,0.3,0.002,25,0.39377883076667786,0.9736091,0.60822153,0.62778765,0.6178497672080994,0.7100272,0.8034504055976868,188750.0,111909.0,8425120.0,121581.0
Adam,Dice,0.3,0.002,50,0.9324564337730408,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,Dice,0.3,0.003,25,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.3,0.003,50,0.9324564337730408,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,Dice,0.4,0.001,25,0.43655282258987427,0.9699388,0.58993465,0.56894284,0.5792486071586609,0.68850476,0.7955763339996338,183075.0,138706.0,8398323.0,127256.0
Adam,Dice,0.4,0.001,50,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.4,0.002,25,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.4,0.002,50,0.41540905833244324,0.9668464,0.69171625,0.5206263,0.5940989255905151,0.69429857,0.8356973528862,214661.0,197652.0,8339377.0,95670.0
Adam,Dice,0.4,0.003,25,0.9324564337730408,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,Dice,0.4,0.003,50,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.5,0.001,25,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.5,0.001,50,0.40281566977500916,0.975034,0.5498742,0.67759037,0.6070879101753235,0.70519185,0.7791271805763245,170643.0,81195.0,8455834.0,139688.0
Adam,Dice,0.5,0.002,25,0.4244246482849121,0.97278905,0.56474215,0.6238502,0.5928264260292053,0.69676405,0.7858240604400635,175257.0,105671.0,8431358.0,135074.0
Adam,Dice,0.5,0.002,50,0.4020111560821533,0.9736916,0.58991206,0.6344082,0.6113515496253967,0.7066925,0.794792652130127,183068.0,105497.0,8431532.0,127263.0
Adam,Dice,0.5,0.003,25,0.5064117312431335,0.96882993,0.46332142,0.5682943,0.5104670524597168,0.65550894,0.7296496033668518,143783.0,109225.0,8427804.0,166548.0
Adam,Dice,0.5,0.003,50,0.9324564337730408,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,Dice,0.6,0.001,25,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.6,0.001,50,0.4623756408691406,0.95915383,0.71914184,0.44868255,0.5525940656661987,0.6699395,0.85039883852005,223172.0,274222.0,8262807.0,87159.0
Adam,Dice,0.6,0.002,25,0.42055773735046387,0.97205955,0.5717444,0.60820353,0.5894107222557068,0.69466746,0.785011887550354,177430.0,114298.0,8422731.0,132901.0
Adam,Dice,0.6,0.002,50,0.396415114402771,0.9734855,0.6091496,0.62527454,0.6171067357063293,0.709575,0.8036214709281921,189038.0,113290.0,8423739.0,121293.0
Adam,Dice,0.6,0.003,25,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.6,0.003,50,0.9324564337730408,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,Dice,0.7,0.001,25,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.7,0.001,50,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.7,0.002,25,0.9923272132873535,0.9613859,0.004379195,0.03994709,0.007893108762800694,0.48267114,0.5002766847610474,1359.0,32661.0,8504368.0,308972.0
Adam,Dice,0.7,0.002,50,0.39928027987480164,0.9742245,0.5944846,0.6435114,0.6180272102355957,0.7104411,0.7965220808982849,184487.0,102201.0,8434828.0,125844.0
Adam,Dice,0.7,0.003,25,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.7,0.003,50,1.0,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,Dice,0.8,0.001,25,0.3985222578048706,0.96780443,0.7273589,0.52991486,0.613133430480957,0.70453066,0.860633134841919,225722.0,200237.0,8336792.0,84609.0
Adam,Dice,0.8,0.001,50,0.5145692825317383,0.9582878,0.6012032,0.43202364,0.5027627944946289,0.6465915,0.7932583689689636,186572.0,245284.0,8291745.0,123759.0
