Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.10110457986593246,0.96083987,0.6729994,0.6161437,0.6433177590370178,0.71679544,0.9598199725151062,26037.0,16221.0,682371.0,12651.0
Adam,BCE,0.2,0.001,50,0.08653482049703598,0.9582262,0.76049423,0.5774114,0.6564260721206665,0.72252846,0.9720523357391357,29422.0,21533.0,677059.0,9266.0
Adam,BCE,0.2,0.002,25,0.09043516218662262,0.95452064,0.75488526,0.54841983,0.6352987289428711,0.7090835,0.9662743210792542,29205.0,24048.0,674544.0,9483.0
Adam,BCE,0.2,0.002,50,0.08299808204174042,0.9477702,0.8463606,0.50137806,0.6297165155410767,0.7024474,0.974277913570404,32744.0,32564.0,666028.0,5944.0
Adam,BCE,0.2,0.003,25,0.08975304663181305,0.9452705,0.83092946,0.4873933,0.6144010424613953,0.69309723,0.9690794348716736,32147.0,33810.0,664782.0,6541.0
Adam,BCE,0.2,0.003,50,0.08560281991958618,0.94456106,0.84323305,0.48379108,0.6148322820663452,0.6929315,0.9725832939147949,32623.0,34809.0,663783.0,6065.0
Adam,BCE,0.3,0.001,25,0.08720164746046066,0.96294624,0.6665116,0.6413949,0.6537120938301086,0.72358483,0.9712530374526978,25786.0,14417.0,684175.0,12902.0
Adam,BCE,0.3,0.001,50,0.08329971879720688,0.96351045,0.69742554,0.6397022,0.6673179864883423,0.7314287,0.9732651114463806,26982.0,15197.0,683395.0,11706.0
Adam,BCE,0.3,0.002,25,0.09557126462459564,0.95131564,0.7784843,0.5243202,0.6266098022460938,0.7027463,0.9687440395355225,30118.0,27324.0,671268.0,8570.0
Adam,BCE,0.3,0.002,50,0.08456161618232727,0.9649224,0.66307384,0.666658,0.6648610830307007,0.7308147,0.9726123213768005,25653.0,12827.0,685765.0,13035.0
Adam,BCE,0.3,0.003,25,0.11812066286802292,0.9530816,0.31831574,0.59973705,0.41589275002479553,0.6074127,0.948038637638092,12315.0,8219.0,690373.0,26373.0
Adam,BCE,0.3,0.003,50,0.08534979075193405,0.9590739,0.7418321,0.5870801,0.6554456353187561,0.722449,0.9723560810089111,28700.0,20186.0,678406.0,9988.0
Adam,BCE,0.4,0.001,25,0.08601444959640503,0.9630954,0.6362955,0.6520196,0.6440616250038147,0.718407,0.9715625047683716,24617.0,13138.0,685454.0,14071.0
Adam,BCE,0.4,0.001,50,0.08853643387556076,0.96427,0.51752484,0.722842,0.6031904220581055,0.6975535,0.9722675681114197,20022.0,7677.0,690915.0,18666.0
Adam,BCE,0.4,0.002,25,0.09061269462108612,0.9631972,0.61675453,0.65972686,0.6375173926353455,0.71493745,0.9718772768974304,23861.0,12307.0,686285.0,14827.0
Adam,BCE,0.4,0.002,50,0.08386022597551346,0.9642904,0.6474359,0.66376936,0.6555008888244629,0.7252886,0.9735189080238342,25048.0,12688.0,685904.0,13640.0
Adam,BCE,0.4,0.003,25,0.0911964401602745,0.95811224,0.7142008,0.58223236,0.6414998173713684,0.7143465,0.969052255153656,27631.0,19826.0,678766.0,11057.0
Adam,BCE,0.4,0.003,50,0.09095048159360886,0.9639377,0.49516645,0.7307927,0.5903362035751343,0.69087684,0.9678967595100403,19157.0,7057.0,691535.0,19531.0
Adam,BCE,0.5,0.001,25,0.08819329738616943,0.9632799,0.4552316,0.7459867,0.5654204487800598,0.678259,0.9687789678573608,17612.0,5997.0,692595.0,21076.0
Adam,BCE,0.5,0.001,50,0.08406709879636765,0.96506345,0.55053246,0.71791154,0.6231786012649536,0.70832276,0.9714310169219971,21299.0,8369.0,690223.0,17389.0
Adam,BCE,0.5,0.002,25,0.08811342716217041,0.96355116,0.4846981,0.7299622,0.5825682878494263,0.6868013,0.9673177003860474,18752.0,6937.0,691655.0,19936.0
Adam,BCE,0.5,0.002,50,0.08550255745649338,0.96383464,0.4529053,0.7611642,0.5679004192352295,0.6797526,0.9718016982078552,17522.0,5498.0,693094.0,21166.0
Adam,BCE,0.5,0.003,25,0.09192659705877304,0.96083575,0.37058002,0.76013994,0.4982537031173706,0.645921,0.9675397872924805,14337.0,4524.0,694068.0,24351.0
Adam,BCE,0.5,0.003,50,0.08590125292539597,0.96477187,0.5507651,0.7126183,0.6213241219520569,0.70719534,0.9699934720993042,21308.0,8593.0,689999.0,17380.0
Adam,BCE,0.6,0.001,25,0.0842650979757309,0.9635837,0.45897952,0.75003165,0.5694722533226013,0.68038523,0.9720248579978943,17757.0,5918.0,692674.0,20931.0
Adam,BCE,0.6,0.001,50,0.0831390768289566,0.9644328,0.5464485,0.709025,0.6172103881835938,0.70486724,0.9740844964981079,21141.0,8676.0,689916.0,17547.0
Adam,BCE,0.6,0.002,25,0.0896107479929924,0.9595825,0.32707816,0.77069247,0.4592519998550415,0.62847376,0.9696213006973267,12654.0,3765.0,694827.0,26034.0
Adam,BCE,0.6,0.002,50,0.08714529871940613,0.96350235,0.4428505,0.76190686,0.560130774974823,0.6758245,0.9735813736915588,17133.0,5354.0,693238.0,21555.0
Adam,BCE,0.6,0.003,25,0.08947909623384476,0.96121556,0.3725703,0.76936215,0.50202876329422,0.6477907,0.9667341113090515,14414.0,4321.0,694271.0,24274.0
Adam,BCE,0.6,0.003,50,0.08763948082923889,0.9605116,0.33149815,0.79777306,0.4683733582496643,0.6328069,0.9709022045135498,12825.0,3251.0,695341.0,25863.0
Adam,BCE,0.7,0.001,25,0.08592613786458969,0.9600003,0.3423542,0.7659168,0.47319623827934265,0.6345973,0.9726413488388062,13245.0,4048.0,694544.0,25443.0
Adam,BCE,0.7,0.001,50,0.08308885991573334,0.9585856,0.26636165,0.8273121,0.40297985076904297,0.6051655,0.9724488258361816,10305.0,2151.0,696441.0,28383.0
Adam,BCE,0.7,0.002,25,0.0890505462884903,0.94993895,0.061388545,0.79939413,0.11402098089456558,0.5051172,0.9697037935256958,2375.0,596.0,697996.0,36313.0
Adam,BCE,0.7,0.002,50,0.0857938602566719,0.9590671,0.28274918,0.81823623,0.42027008533477783,0.6122449,0.9706597328186035,10939.0,2430.0,696162.0,27749.0
Adam,BCE,0.7,0.003,25,0.09911423921585083,0.94754094,0.0011114557,0.5733333,0.0022186103742569685,0.47432423,0.9631945490837097,43.0,32.0,698560.0,38645.0
