Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.0706924721598625,0.9637813,0.75319487,0.50907254,0.6075271368026733,0.6995152,0.9627083539962769,62003.0,59793.0,2069727.0,20317.0
Adam,BCE,0.2,0.001,50,0.0664911419153213,0.9634702,0.7803693,0.5059941,0.6139202117919922,0.702648,0.9701911211013794,64240.0,62718.0,2066802.0,18080.0
Adam,BCE,0.2,0.002,25,0.0769488364458084,0.9565262,0.73596936,0.44875452,0.5575469136238098,0.6709144,0.957858681678772,60585.0,74422.0,2055098.0,21735.0
Adam,BCE,0.2,0.002,50,0.0695913210511207,0.96696824,0.6974368,0.54385364,0.6111438870429993,0.703061,0.969086527824402,57413.0,48154.0,2081366.0,24907.0
Adam,BCE,0.2,0.003,25,0.0730438604950904,0.95481545,0.79331875,0.44056317,0.5665161609649658,0.67432153,0.9636763334274292,65306.0,82927.0,2046593.0,17014.0
Adam,BCE,0.2,0.003,50,0.0683791935443878,0.9572691,0.81330174,0.45826715,0.5862199068069458,0.6852912,0.9695443511009216,66951.0,79145.0,2050375.0,15369.0
Adam,BCE,0.3,0.001,25,0.0716310366988182,0.9682549,0.6121477,0.5682518,0.589383602142334,0.69266737,0.9662294983863832,50392.0,38287.0,2091233.0,31928.0
Adam,BCE,0.3,0.001,50,0.0696897432208061,0.96762466,0.6760933,0.55323505,0.6085249185562134,0.70205635,0.9675363302230836,55656.0,44945.0,2084575.0,26664.0
Adam,BCE,0.3,0.002,25,0.072680078446865,0.9669162,0.6336856,0.5480323,0.5877547860145569,0.6911509,0.9648321866989136,52165.0,43021.0,2086499.0,30155.0
Adam,BCE,0.3,0.002,50,0.068446360528469,0.9714767,0.6301628,0.6137673,0.6218569874763489,0.7110099,0.9675304293632508,51875.0,32644.0,2096876.0,30445.0
Adam,BCE,0.3,0.003,25,0.0803514346480369,0.96272784,0.6128401,0.49940604,0.5503386855125427,0.67074525,0.9561859369277954,50449.0,50569.0,2078951.0,31871.0
Adam,BCE,0.3,0.003,50,0.0718239247798919,0.9676889,0.6206268,0.5594184,0.5884352326393127,0.6918961,0.9646903872489928,51090.0,40237.0,2089283.0,31230.0
Adam,BCE,0.4,0.001,25,0.0756038203835487,0.9711168,0.41552478,0.68443483,0.517109215259552,0.6596901,0.9626399278640748,34206.0,15771.0,2113749.0,48114.0
Adam,BCE,0.4,0.001,50,0.071129061281681,0.96847963,0.5984572,0.57332885,0.5856236219406128,0.69090617,0.9660612940788268,49265.0,36663.0,2092857.0,33055.0
Adam,BCE,0.4,0.002,25,0.0929932221770286,0.9667363,0.23869048,0.64313304,0.348164290189743,0.5886061,0.9392576813697816,19649.0,10903.0,2118617.0,62671.0
Adam,BCE,0.4,0.002,50,0.0844135582447052,0.96682805,0.2481657,0.6402269,0.3576849997043609,0.592156,0.95124089717865,20429.0,11480.0,2118040.0,61891.0
Adam,BCE,0.4,0.003,25,0.0884795039892196,0.96433645,0.2920068,0.5385098,0.3786763846874237,0.5987523,0.9506434202194214,24038.0,20600.0,2108920.0,58282.0
Adam,BCE,0.4,0.003,50,0.0704961717128753,0.97173893,0.4970724,0.6596966,0.566953182220459,0.6834171,0.9648515582084656,40919.0,21108.0,2108412.0,41401.0
Adam,BCE,0.5,0.001,25,0.0733137801289558,0.9700851,0.35811466,0.6886724,0.4712012708187103,0.6389488,0.96381938457489,29480.0,13327.0,2116193.0,52840.0
Adam,BCE,0.5,0.001,50,0.066946692764759,0.972588,0.53575075,0.6630335,0.5926348567008972,0.6965628,0.9712658524513244,44103.0,22414.0,2107106.0,38217.0
Adam,BCE,0.5,0.002,25,0.1016687378287315,0.96293586,0.017249757,0.568,0.0334826707839965,0.4899692,0.9328739047050476,1420.0,1080.0,2128440.0,80900.0
Adam,BCE,0.5,0.002,50,0.0761294290423393,0.9685389,0.3524417,0.64056253,0.4547029137611389,0.6311851,0.961512804031372,29013.0,16280.0,2113240.0,53307.0
Adam,BCE,0.5,0.003,25,0.0778725892305374,0.96719426,0.22755101,0.67612344,0.3405044078826904,0.5860498,0.9576370120048524,18732.0,8973.0,2120547.0,63588.0
Adam,BCE,0.5,0.003,50,0.072841040790081,0.9697166,0.31749272,0.70764065,0.4383249282836914,0.6250153,0.962967813014984,26136.0,10798.0,2118722.0,56184.0
Adam,BCE,0.6,0.001,25,0.0724483579397201,0.9675148,0.16848883,0.8030338,0.2785364389419555,0.56455594,0.9644618034362792,13870.0,3402.0,2126118.0,68450.0
Adam,BCE,0.6,0.001,50,0.0689948350191116,0.97305727,0.36564627,0.803245,0.5025335550308228,0.6541374,0.9653862118721008,30100.0,7373.0,2122147.0,52220.0
Adam,BCE,0.6,0.002,25,0.0788342878222465,0.9676871,0.1966108,0.7520561,0.3117265701293945,0.5760456,0.9590139985084534,16185.0,5336.0,2124184.0,66135.0
Adam,BCE,0.6,0.002,50,0.0718283802270889,0.9680881,0.18247084,0.8205506,0.298551082611084,0.5716693,0.9659870862960817,15021.0,3285.0,2126235.0,67299.0
Adam,BCE,0.6,0.003,25,0.0757167413830757,0.9648564,0.08931001,0.72676945,0.1590722352266311,0.52557397,0.963303565979004,7352.0,2764.0,2126756.0,74968.0
Adam,BCE,0.6,0.003,50,0.0701011940836906,0.9694282,0.2844388,0.72875816,0.4091743230819702,0.6131549,0.9677347540855408,23415.0,8715.0,2120805.0,58905.0
Adam,BCE,0.7,0.001,25,0.0713124200701713,0.96745515,0.17242469,0.7862841,0.2828278839588165,0.56597525,0.965891182422638,14194.0,3858.0,2125662.0,68126.0
Adam,BCE,0.7,0.001,50,0.0674409195780754,0.9753531,0.5528547,0.7199171,0.6254217028617859,0.7149135,0.9733628630638124,45511.0,17706.0,2111814.0,36809.0
Adam,BCE,0.7,0.002,25,0.0719854906201362,0.9636615,0.028644314,0.8509563,0.055423017591238,0.496062,0.9686692357063292,2358.0,413.0,2129107.0,79962.0
Adam,BCE,0.7,0.002,50,0.0766858831048011,0.9659966,0.1034621,0.8582225,0.1846624165773391,0.53379434,0.9608961939811708,8517.0,1407.0,2128113.0,73803.0
