Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.0627531558275222,0.95470446,0.87238926,0.4245953,0.5711901187896729,0.6765309,0.979040503501892,44484.0,60284.0,1363285.0,6507.0
Adam,BCE,0.2,0.001,50,0.0582890659570694,0.97365856,0.7239513,0.5984825,0.6552648544311523,0.730132,0.9779011607170104,36915.0,24766.0,1398803.0,14076.0
Adam,BCE,0.2,0.002,25,0.0624532848596572,0.9662143,0.76639014,0.50761175,0.6107191443443298,0.70244414,0.9725327491760254,39079.0,37907.0,1385662.0,11912.0
Adam,BCE,0.2,0.002,50,0.0669161900877952,0.9614075,0.79625815,0.46604684,0.5879618525505066,0.68835354,0.9667283892631532,40602.0,46518.0,1377051.0,10389.0
Adam,BCE,0.2,0.003,25,0.0623889602720737,0.96633166,0.75248575,0.5089197,0.6071875095367432,0.7006878,0.9709837436676024,38370.0,37025.0,1386544.0,12621.0
Adam,BCE,0.2,0.003,50,0.0584256052970886,0.96912503,0.7687435,0.53745854,0.632624626159668,0.715469,0.9790261387825012,39199.0,33735.0,1389834.0,11792.0
Adam,BCE,0.3,0.001,25,0.0590580254793167,0.97102255,0.7462689,0.56088966,0.6404341459274292,0.72065645,0.9797406196594238,38053.0,29791.0,1393778.0,12938.0
Adam,BCE,0.3,0.001,50,0.0595861747860908,0.97577244,0.64689845,0.65053445,0.6487113237380981,0.7276434,0.9749165773391724,32986.0,17720.0,1405849.0,18005.0
Adam,BCE,0.3,0.002,25,0.058915976434946,0.97095066,0.7421702,0.5603862,0.6385933756828308,0.71962714,0.9783257842063904,37844.0,29688.0,1393881.0,13147.0
Adam,BCE,0.3,0.002,50,0.0590463913977146,0.9726271,0.69969213,0.5875049,0.6387096047401428,0.72057134,0.9773902297019958,35678.0,25050.0,1398519.0,15313.0
Adam,BCE,0.3,0.003,25,0.0643204972147941,0.9658318,0.7704497,0.5038992,0.6092978119850159,0.70150954,0.9757558703422546,39286.0,38678.0,1384891.0,11705.0
Adam,BCE,0.3,0.003,50,0.0589168407022953,0.9705953,0.7608009,0.55454856,0.6415041089057922,0.72100866,0.9788084030151368,38794.0,31162.0,1392407.0,12197.0
Adam,BCE,0.4,0.001,25,0.0605347007513046,0.97451305,0.6162852,0.63560605,0.6257965564727783,0.71467334,0.9743072390556335,31425.0,18016.0,1405553.0,19566.0
Adam,BCE,0.4,0.001,50,0.0563982427120208,0.97610813,0.63454336,0.6609875,0.6474955677986145,0.72715515,0.9787721633911132,32356.0,16595.0,1406974.0,18635.0
Adam,BCE,0.4,0.002,25,0.0587271898984909,0.9747118,0.6309937,0.63526696,0.6331231594085693,0.71866864,0.9773244261741638,32175.0,18473.0,1405096.0,18816.0
Adam,BCE,0.4,0.002,50,0.058841124176979,0.9740587,0.6520366,0.6184869,0.6348187327384949,0.71923363,0.9772889018058776,33248.0,20509.0,1403060.0,17743.0
Adam,BCE,0.4,0.003,25,0.062687799334526,0.9739014,0.5585299,0.6406767,0.5967897176742554,0.69934523,0.9722968339920044,28480.0,15973.0,1407596.0,22511.0
Adam,BCE,0.4,0.003,50,0.0575076192617416,0.9757582,0.66870624,0.64395386,0.6560966968536377,0.73169327,0.9763109087944032,34098.0,18853.0,1404716.0,16893.0
Adam,BCE,0.5,0.001,25,0.0611879862844944,0.9744758,0.56409955,0.65115225,0.6045079827308655,0.7035771,0.9772518277168274,28764.0,15410.0,1408159.0,22227.0
Adam,BCE,0.5,0.001,50,0.0590151846408844,0.9753723,0.4179169,0.7625966,0.5399379134178162,0.672408,0.977073848247528,21310.0,6634.0,1416935.0,29681.0
Adam,BCE,0.5,0.002,25,0.0609424263238906,0.97479653,0.56325626,0.658512,0.607170820236206,0.7051111,0.976132035255432,28721.0,14894.0,1408675.0,22270.0
Adam,BCE,0.5,0.002,50,0.0565970540046691,0.97658896,0.532996,0.71736264,0.61158686876297,0.7083214,0.9799956679344176,27178.0,10708.0,1412861.0,23813.0
Adam,BCE,0.5,0.003,25,0.0625204592943191,0.97492677,0.48416388,0.6982493,0.5718256831169128,0.6874445,0.9771057963371276,24688.0,10669.0,1412900.0,26303.0
Adam,BCE,0.5,0.003,50,0.0582477264106273,0.9763489,0.5131886,0.7224738,0.6001077890396118,0.7023015,0.9786399602890016,26168.0,10052.0,1413517.0,24823.0
Adam,BCE,0.6,0.001,25,0.0593886785209178,0.97532487,0.4809476,0.7120376,0.5741106867790222,0.6887705,0.9769616723060608,24524.0,9918.0,1413651.0,26467.0
Adam,BCE,0.6,0.001,50,0.0575728639960289,0.9757467,0.42046636,0.7753508,0.545248806476593,0.67509717,0.976235032081604,21440.0,6212.0,1417357.0,29551.0
Adam,BCE,0.6,0.002,25,0.3762813210487366,0.9679708,0.0844855,0.8875154,0.154284194111824,0.52573365,0.7294411063194275,4308.0,546.0,1423023.0,46683.0
Adam,BCE,0.6,0.002,50,0.0673299506306648,0.96863675,0.13076818,0.7760708,0.2238222360610962,0.54725385,0.9655388593673706,6668.0,1924.0,1421645.0,44323.0
Adam,BCE,0.6,0.003,25,0.0618338473141193,0.9745375,0.4078955,0.7387845,0.5255988836288452,0.6653281,0.9754876494407654,20799.0,7354.0,1416215.0,30192.0
Adam,BCE,0.6,0.003,50,0.0565413571894168,0.97679514,0.51089406,0.73740375,0.6035982966423035,0.7043152,0.979081392288208,26051.0,9277.0,1414292.0,24940.0
Adam,BCE,0.7,0.001,25,0.0599683858454227,0.9711412,0.22676551,0.7871877,0.3521010875701904,0.5922899,0.9764727354049684,11563.0,3126.0,1420443.0,39428.0
Adam,BCE,0.7,0.001,50,0.0596691593527793,0.9721314,0.28595242,0.7568648,0.4150819480419159,0.616874,0.9768669605255128,14581.0,4684.0,1418885.0,36410.0
Adam,BCE,0.7,0.002,25,0.0669362470507621,0.96763647,0.07628797,0.8623365,0.1401751190423965,0.5214605,0.9706701636314392,3890.0,621.0,1422948.0,47101.0
Adam,BCE,0.7,0.002,50,0.0630458518862724,0.9717889,0.24318017,0.8047767,0.3734995722770691,0.6005918,0.9692376255989076,12400.0,3008.0,1420561.0,38591.0
Adam,BCE,0.7,0.003,25,0.0585325136780738,0.97230494,0.25588828,0.8184156,0.3898765742778778,0.60709924,0.9765366911888124,13048.0,2895.0,1420674.0,37943.0
Adam,BCE,0.7,0.003,50,0.0581900663673877,0.9746243,0.38971582,0.75931376,0.5150721669197083,0.66057223,0.979418694972992,19872.0,6299.0,1417270.0,31119.0
Adam,BCE,0.8,0.001,25,0.0625609084963798,0.965743,0.011099998,0.86412215,0.0219184458255767,0.48840526,0.9736745357513428,566.0,89.0,1423480.0,50425.0
Adam,BCE,0.8,0.001,50,0.061654232442379,0.96896636,0.12072719,0.86924595,0.2120090276002884,0.54370505,0.9751084446907043,6156.0,926.0,1422643.0,44835.0
Adam,BCE,0.8,0.002,25,0.0604824870824813,0.9703559,0.1861701,0.8108824,0.3028166592121124,0.57429343,0.9764429330825806,9493.0,2214.0,1421355.0,41498.0
Adam,BCE,0.8,0.002,50,0.0615102127194404,0.9655429,0.0056480556,0.7309645,0.0112094962969422,0.4855863,0.9740187525749208,288.0,106.0,1423463.0,50703.0
Adam,BCE,0.8,0.003,25,0.0620797574520111,0.9685018,0.11303955,0.8254332,0.1988477557897567,0.53938925,0.9715457558631896,5764.0,1219.0,1422350.0,45227.0
Adam,BCE,0.8,0.003,50,0.0600715726613998,0.966354,0.030221019,0.9043427,0.058487519621849,0.49822178,0.9748127460479736,1541.0,163.0,1423406.0,49450.0
Adam,Dice,0.2,0.001,25,0.3867028951644897,0.9696282,0.7608205,0.54346913,0.6340347528457642,0.7164868,0.8827168941497803,38795.0,32589.0,1390980.0,12196.0
Adam,Dice,0.2,0.001,50,0.4195177853107452,0.9750224,0.5452727,0.6708164,0.6015642881393433,0.70235586,0.7860669493675232,27804.0,13644.0,1409925.0,23187.0
Adam,Dice,0.2,0.002,25,0.3893762826919555,0.9757392,0.618972,0.6588181,0.6382738351821899,0.72196627,0.8208981156349182,31562.0,16345.0,1407224.0,19429.0
Adam,Dice,0.2,0.002,50,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.2,0.003,25,1.0,0.96541953,0.0,0.0,0.0,0.48270977,0.5,0.0,0.0,1423569.0,50991.0
Adam,Dice,0.2,0.003,50,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.3,0.001,25,0.3877825736999511,0.9739631,0.66701967,0.61364704,0.63922119140625,0.7215474,0.8488272428512573,34012.0,21414.0,1402155.0,16979.0
Adam,Dice,0.3,0.001,50,0.3855434358119964,0.97274303,0.69112194,0.59046966,0.6368433237075806,0.7196292,0.8504481911659241,35241.0,24442.0,1399127.0,15750.0
Adam,Dice,0.3,0.002,25,0.9363540410995485,0.5252489,0.4712204,0.03446782,0.064236968755722,0.27528447,0.4992022514343261,24028.0,673086.0,750483.0,26963.0
Adam,Dice,0.3,0.002,50,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.3,0.003,25,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.3,0.003,50,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.4,0.001,25,0.3870723247528076,0.9734951,0.6756486,0.60446346,0.6380768418312073,0.7206863,0.8531691431999207,34452.0,22544.0,1401025.0,16539.0
Adam,Dice,0.4,0.001,50,0.4019211530685425,0.97524685,0.58300483,0.66113645,0.6196172833442688,0.7118056,0.8066099882125854,29728.0,15237.0,1408332.0,21263.0
Adam,Dice,0.4,0.002,25,0.4375992119312286,0.9747877,0.50856036,0.68152434,0.5824732780456543,0.69262224,0.7754218578338623,25932.0,12118.0,1411451.0,25059.0
Adam,Dice,0.4,0.002,50,0.3701264560222626,0.9749993,0.6773156,0.6285397,0.6520166993141174,0.7290488,0.8433218002319336,34537.0,20411.0,1403158.0,16454.0
Adam,Dice,0.4,0.003,25,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.4,0.003,50,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.5,0.001,25,0.4034968018531799,0.9742879,0.6117746,0.6325918,0.6220090985298157,0.7125603,0.8292231559753418,31195.0,18118.0,1405451.0,19796.0
Adam,Dice,0.5,0.001,50,0.4036349058151245,0.9754747,0.5667863,0.6725073,0.6151373982429504,0.7095855,0.8044818639755249,28901.0,14074.0,1409495.0,22090.0
Adam,Dice,0.5,0.002,25,0.9998562335968018,0.96536255,5.8833913e-05,0.033333335,0.0001174605058622,0.4827106,0.4999988973140716,3.0,87.0,1423482.0,50988.0
