Optimizer,Loss Function,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,BCE,0.2,0.001,25,0.0595694929361343,0.96406454,0.8170854,0.48829195,0.6112810373306274,0.7015979,0.9780212640762328,41664.0,43662.0,1379907.0,9327.0
Adam,BCE,0.2,0.001,50,0.0589914731681346,0.96420425,0.83112705,0.48964784,0.6162436008453369,0.70424306,0.9789873361587524,42380.0,44172.0,1379397.0,8611.0
Adam,BCE,0.2,0.002,25,0.0608892329037189,0.9688639,0.7604087,0.5350426,0.6281224489212036,0.71293956,0.9728816151618958,38774.0,33695.0,1389874.0,12217.0
Adam,BCE,0.2,0.002,50,0.0598613172769546,0.9752563,0.6917299,0.6294188,0.6591049432754517,0.73309547,0.9765456318855286,35272.0,20767.0,1402802.0,15719.0
Adam,BCE,0.2,0.003,25,0.0638689175248146,0.9673564,0.73936576,0.5196841,0.6103596091270447,0.7028606,0.9688143730163574,37701.0,34845.0,1388724.0,13290.0
Adam,BCE,0.2,0.003,50,0.0582593083381652,0.9729397,0.73430604,0.58690846,0.6523852944374084,0.7281692,0.9779463410377502,37443.0,26354.0,1397215.0,13548.0
Adam,BCE,0.3,0.001,25,0.0587068200111389,0.9727417,0.70951736,0.5876935,0.6428850293159485,0.7228853,0.9775691628456116,36179.0,25382.0,1398187.0,14812.0
Adam,BCE,0.3,0.001,50,0.0569484271109104,0.9766581,0.66195995,0.6626747,0.662317156791687,0.735617,0.9776854515075684,33754.0,17182.0,1406387.0,17237.0
Adam,BCE,0.3,0.002,25,0.069010742008686,0.97154474,0.62758136,0.5821539,0.6040146946907043,0.70179665,0.96527498960495,32001.0,22969.0,1400600.0,18990.0
Adam,BCE,0.3,0.002,50,0.0585084185004234,0.97343206,0.69072974,0.60076416,0.642613410949707,0.7231008,0.9771584868431092,35221.0,23406.0,1400163.0,15770.0
Adam,BCE,0.3,0.003,25,0.0597053840756416,0.97177666,0.7340511,0.57157254,0.6427019834518433,0.72227865,0.9793892502784728,37430.0,28056.0,1395513.0,13561.0
Adam,BCE,0.3,0.003,50,0.0621597170829772,0.97516274,0.5866525,0.65801454,0.6202877759933472,0.7121131,0.9753758311271667,29914.0,15547.0,1408022.0,21077.0
Adam,BCE,0.4,0.001,25,0.0600167475640773,0.9761861,0.55127376,0.69675785,0.6155362129211426,0.710163,0.9757254719734192,28110.0,12234.0,1411335.0,22881.0
Adam,BCE,0.4,0.001,50,0.0551643148064613,0.9777846,0.6035771,0.71044064,0.6526634097099304,0.7308606,0.9788542985916138,30777.0,12544.0,1411025.0,20214.0
Adam,BCE,0.4,0.002,25,0.0601692833006382,0.97579277,0.54929304,0.68781,0.6107967495918274,0.7074991,0.9736598134040833,28009.0,12713.0,1410856.0,22982.0
Adam,BCE,0.4,0.002,50,0.056856669485569,0.9767287,0.582495,0.6951414,0.6338523030281067,0.7201104,0.9788907766342164,29702.0,13026.0,1410543.0,21289.0
Adam,BCE,0.4,0.003,25,0.0604342892765998,0.9748752,0.5918888,0.65018636,0.6196694374084473,0.7116393,0.9744347929954528,30181.0,16238.0,1407331.0,20810.0
Adam,BCE,0.4,0.003,50,0.0615858361124992,0.97461075,0.55211705,0.6585035,0.6006357669830322,0.7016685,0.9738758206367492,28153.0,14600.0,1408969.0,22838.0
Adam,BCE,0.5,0.001,25,0.0623628087341785,0.9737834,0.37112433,0.74168134,0.4947063028812408,0.6510435,0.9737501740455629,18924.0,6591.0,1416978.0,32067.0
Adam,BCE,0.5,0.001,50,0.0562904551625251,0.9770291,0.53507483,0.7285642,0.6170059442520142,0.7113669,0.9794887900352478,27284.0,10165.0,1413404.0,23707.0
Adam,BCE,0.5,0.002,25,0.059445634484291,0.97577924,0.51352197,0.7059093,0.5945393443107605,0.69918114,0.9754496812820436,26185.0,10909.0,1412660.0,24806.0
Adam,BCE,0.5,0.002,50,0.0569959729909896,0.9762166,0.5672374,0.6898657,0.6225704550743103,0.71386033,0.9795463681221008,28924.0,13003.0,1410566.0,22067.0
Adam,BCE,0.5,0.003,25,0.0612848289310932,0.9750095,0.48759586,0.6986933,0.5743624567985535,0.68873096,0.9748159050941468,24863.0,10722.0,1412847.0,26128.0
Adam,BCE,0.5,0.003,50,0.0623690076172351,0.97443104,0.47788826,0.6874295,0.5638195872306824,0.68329203,0.9716627597808838,24368.0,11080.0,1412489.0,26623.0
Adam,BCE,0.6,0.001,25,0.0622683614492416,0.97455853,0.4798494,0.6900169,0.5660548210144043,0.6844413,0.9752076864242554,24468.0,10992.0,1412577.0,26523.0
Adam,BCE,0.6,0.001,50,0.0590732134878635,0.97500813,0.38336176,0.7832672,0.5147732496261597,0.66063404,0.9777514934539796,19548.0,5409.0,1418160.0,31443.0
Adam,BCE,0.6,0.002,25,0.0616856776177883,0.97313166,0.34174657,0.74216354,0.467994213104248,0.63914424,0.9743039608001708,17426.0,6054.0,1417515.0,33565.0
Adam,BCE,0.6,0.002,50,0.0558810830116272,0.9764418,0.4840462,0.745432,0.5869539380073547,0.6957114,0.9796602129936218,24682.0,8429.0,1415140.0,26309.0
Adam,BCE,0.6,0.003,25,0.0613771751523017,0.97425944,0.3704183,0.7634291,0.4988115727901459,0.6531016,0.9726794362068176,18888.0,5853.0,1417716.0,32103.0
Adam,BCE,0.6,0.003,50,0.0825177580118179,0.96541953,0.0,0.0,0.0,0.48270977,0.9458960890769958,0.0,0.0,1423569.0,50991.0
Adam,BCE,0.7,0.001,25,0.0584870763123035,0.97251385,0.2907768,0.77252126,0.4225179553031921,0.620039,0.9767199754714966,14827.0,4366.0,1419203.0,36164.0
Adam,BCE,0.7,0.001,50,0.058822076767683,0.97478706,0.38638192,0.76988006,0.5145334601402283,0.66041195,0.9778897166252136,19702.0,5889.0,1417680.0,31289.0
Adam,BCE,0.7,0.002,25,0.060194756835699,0.9736423,0.34198192,0.7664718,0.4729462265968323,0.6415192,0.9776023626327516,17438.0,5313.0,1418256.0,33553.0
Adam,BCE,0.7,0.002,50,0.0572922490537166,0.9743381,0.35696495,0.7827807,0.4903291463851928,0.64940476,0.9776689410209656,18202.0,5051.0,1418518.0,32789.0
Adam,BCE,0.7,0.003,25,0.0626761019229888,0.97122055,0.24559236,0.75933784,0.3711453080177307,0.59941536,0.9721366763114928,12523.0,3969.0,1419600.0,38468.0
Adam,BCE,0.7,0.003,50,0.0581376031041145,0.9743042,0.35747483,0.78047526,0.4903558790683746,0.64939904,0.9779653549194336,18228.0,5127.0,1418442.0,32763.0
Adam,BCE,0.8,0.001,25,0.0590831115841865,0.96640694,0.034221724,0.85791546,0.0658180117607116,0.500198,0.978028118610382,1745.0,289.0,1423280.0,49246.0
Adam,BCE,0.8,0.001,50,0.0566770657896995,0.9714281,0.20786022,0.8590533,0.3347282111644745,0.58611315,0.9793245792388916,10599.0,1739.0,1421830.0,40392.0
Adam,BCE,0.8,0.002,25,0.0607039593160152,0.9666063,0.039144162,0.89027655,0.0749910771846771,0.5027586,0.9720720648765564,1996.0,246.0,1423323.0,48995.0
Adam,BCE,0.8,0.002,50,0.0584221854805946,0.9698846,0.151615,0.87080425,0.258263885974884,0.5590027,0.9771623015403748,7731.0,1147.0,1422422.0,43260.0
Adam,BCE,0.8,0.003,25,0.0592861957848072,0.9695997,0.15259555,0.82794213,0.2576959431171417,0.5586719,0.977925181388855,7781.0,1617.0,1421952.0,43210.0
Adam,BCE,0.8,0.003,50,0.0642647296190261,0.96721596,0.06050087,0.8761715,0.1131860837340354,0.51356757,0.9711565971374512,3085.0,436.0,1423133.0,47906.0
Adam,Dice,0.2,0.001,25,0.3705893754959106,0.97365314,0.7174795,0.5994691,0.6531869173049927,0.72898495,0.8665353059768677,36585.0,24444.0,1399125.0,14406.0
Adam,Dice,0.2,0.001,50,0.375655859708786,0.9729662,0.7148124,0.5900761,0.6464823484420776,0.72495615,0.8603807687759399,36449.0,25321.0,1398248.0,14542.0
Adam,Dice,0.2,0.002,25,0.384203165769577,0.9745829,0.6518013,0.62756795,0.6394551396369934,0.72199804,0.8318773508071899,33236.0,19724.0,1403845.0,17755.0
Adam,Dice,0.2,0.002,50,0.3782682120800018,0.97656727,0.62010944,0.67561215,0.6466720700263977,0.7269461,0.8171723484992981,31620.0,15182.0,1408387.0,19371.0
Adam,Dice,0.2,0.003,25,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.2,0.003,50,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.3,0.001,25,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.3,0.001,50,0.4270046651363373,0.9749315,0.5524112,0.66575277,0.603809118270874,0.70345616,0.7924546003341675,28168.0,14142.0,1409427.0,22823.0
Adam,Dice,0.3,0.002,25,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.3,0.002,50,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.3,0.003,25,0.9335387945175172,0.046402995,0.9864682,0.034553394,0.066768079996109,0.023630768,0.499599426984787,50301.0,1405446.0,18123.0,690.0
Adam,Dice,0.3,0.003,50,0.9334531426429749,0.034580484,1.0,0.034580484,0.0668492913246154,0.017290242,0.5,50991.0,1423569.0,0.0,0.0
Adam,Dice,0.4,0.001,25,0.3990491330623626,0.96788734,0.7699594,0.5242979,0.6238142848014832,0.7101506,0.8863721489906311,39261.0,35622.0,1387947.0,11730.0
