Optimizer,Loss Function,Gamma,Alpha,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,SFCE,0.0,0.0,0.4,0.001,50,0.06435038894414902,0.98124003,0.7080633,0.7445758,0.725859522819519,0.7752247,0.9559354186058044,219734.0,75380.0,8461649.0,90597.0
Adam,SFCE,0.0,0.05,0.4,0.001,50,0.02704213373363018,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.1,0.4,0.001,50,0.05408426746726036,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.15,0.4,0.001,50,0.0811263918876648,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.2,0.4,0.001,50,0.10816853493452072,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.25,0.4,0.001,50,0.13521064817905426,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.3,0.4,0.001,50,0.02683372050523758,0.98029965,0.598229,0.7891126,0.6805390119552612,0.74782395,0.950645387172699,185649.0,49614.0,8487415.0,124682.0
Adam,SFCE,0.0,0.35,0.4,0.001,50,0.03740803152322769,0.97668445,0.555088,0.71634537,0.6254904866218567,0.71564305,0.9318253993988037,172261.0,68211.0,8468818.0,138070.0
Adam,SFCE,0.0,0.4,0.4,0.001,50,0.21633706986904144,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.45,0.4,0.001,50,0.03350714221596718,0.9810219,0.6396751,0.7797068,0.7027834057807922,0.76117444,0.9452252984046936,198511.0,56086.0,8480943.0,111820.0
Adam,SFCE,0.0,0.5,0.4,0.001,50,0.2704212963581085,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.55,0.4,0.001,50,0.038240041583776474,0.9779287,0.6527643,0.6983157,0.6747721433639526,0.743293,0.9495832920074463,202573.0,87515.0,8449514.0,107758.0
Adam,SFCE,0.0,0.6,0.4,0.001,50,0.3245055675506592,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.65,0.4,0.001,50,0.03748341277241707,0.9798241,0.6953608,0.7198922,0.7074127197265625,0.7633028,0.9516791105270386,215792.0,83965.0,8453064.0,94539.0
Adam,SFCE,0.0,0.7,0.4,0.001,50,0.046384427696466446,0.97357935,0.6515366,0.6168038,0.6336967349052429,0.71838146,0.9375036358833313,202193.0,125614.0,8411415.0,108138.0
Adam,SFCE,0.0,0.75,0.4,0.001,50,0.40563198924064636,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.8,0.4,0.001,50,0.04392305761575699,0.9752877,0.702392,0.6331741,0.66599041223526,0.736951,0.9446085095405579,217974.0,126281.0,8410748.0,92357.0
Adam,SFCE,0.0,0.85,0.4,0.001,50,0.04341190308332443,0.96784794,0.7483719,0.5294905,0.6201854348182678,0.7082257,0.9447722434997559,232243.0,206373.0,8330656.0,78088.0
Adam,SFCE,0.0,0.9,0.4,0.001,50,0.047458816319704056,0.9653247,0.7476146,0.5038504,0.6019918918609619,0.69749886,0.937366783618927,232008.0,228462.0,8308567.0,78323.0
Adam,SFCE,0.0,0.95,0.4,0.001,50,0.03157973662018776,0.956475,0.82260233,0.43614474,0.5700488686561584,0.6769156,0.9545284509658813,255279.0,330029.0,8207000.0,55052.0
Adam,SFCE,0.0,1.0,0.4,0.001,50,0.0,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,SFCE,1.0,0.0,0.4,0.001,50,0.03434201702475548,0.9794521,0.70277864,0.70889837,0.7058252096176147,0.7621596,0.9762053489685059,218094.0,89558.0,8447471.0,92237.0
Adam,SFCE,1.0,0.05,0.4,0.001,50,0.02704213373363018,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,1.0,0.1,0.4,0.001,50,0.05408426746726036,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
