Optimizer,Loss Function,Gamma,Alpha,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,SFCE,0.0,0.0,0.4,0.001,50,0.540842592716217,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.05,0.4,0.001,50,0.02704213373363018,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.1,0.4,0.001,50,0.016570134088397026,0.9754363,0.38037127,0.82502884,0.520685613155365,0.66354096,0.9189296960830688,118041.0,25034.0,8511995.0,192290.0
Adam,SFCE,0.0,0.15,0.4,0.001,50,0.0811263918876648,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.2,0.4,0.001,50,0.02374839410185814,0.97672015,0.45117632,0.79706484,0.576197624206543,0.69051754,0.9253177642822266,140014.0,35648.0,8501381.0,170317.0
Adam,SFCE,0.0,0.25,0.4,0.001,50,0.025994667783379555,0.97607887,0.45127943,0.7720287,0.5696040987968445,0.68695426,0.9479828476905823,140046.0,41354.0,8495675.0,170285.0
Adam,SFCE,0.0,0.3,0.4,0.001,50,0.030269872397184372,0.9780668,0.5653512,0.7478134,0.6439058780670166,0.7262235,0.946381688117981,175446.0,59166.0,8477863.0,134885.0
Adam,SFCE,0.0,0.35,0.4,0.001,50,0.03511874005198479,0.9766804,0.5718249,0.7072851,0.6323822736740112,0.7193001,0.9457477927207947,177455.0,73441.0,8463588.0,132876.0
Adam,SFCE,0.0,0.4,0.4,0.001,50,0.040045130997896194,0.97620237,0.5331533,0.7158699,0.6111469864845276,0.7078931,0.9284829497337341,165454.0,65669.0,8471360.0,144877.0
Adam,SFCE,0.0,0.45,0.4,0.001,50,0.03906210511922836,0.97644573,0.54199547,0.7173908,0.6174793839454651,0.7113111,0.9373430013656616,168198.0,66260.0,8470769.0,142133.0
Adam,SFCE,0.0,0.5,0.4,0.001,50,0.039426352828741074,0.97620386,0.5888068,0.687836,0.6344805359840393,0.7201731,0.9445416927337646,182725.0,82927.0,8454102.0,127606.0
Adam,SFCE,0.0,0.55,0.4,0.001,50,0.29746344685554504,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.6,0.4,0.001,50,0.3245055675506592,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,0.0,0.65,0.4,0.001,50,0.03380117937922478,0.97344893,0.5930958,0.6288471,0.6104484796524048,0.7060991,0.9723519682884216,184056.0,108632.0,8428397.0,126275.0
Adam,SFCE,0.0,0.7,0.4,0.001,50,0.04503370821475983,0.9744124,0.6545076,0.6302408,0.642145037651062,0.7233613,0.9418030977249146,203114.0,119166.0,8417863.0,107217.0
Adam,SFCE,0.0,0.75,0.4,0.001,50,0.04314200580120087,0.97372866,0.6561317,0.6182664,0.63663649559021,0.720035,0.9472719430923462,203618.0,125719.0,8411310.0,106713.0
